区分,総数,総数割合,一人,一人割合,家族,家族割合,福祉施設の職員・仲間,福祉施設の職員・仲間割合,スポーツ教室の指導者・仲間,スポーツ教室の指導者・仲間割合,地域の公共スポーツ施設の職員・仲間,地域の公共スポーツ施設の職員・仲間割合,障害者専用スポーツ施設の職員・仲間,障害者専用スポーツ施設の職員・仲間割合,障害がある人のサークル・障害者スポーツのサークル等の仲間,障害がある人のサークル・障害者スポーツのサークル等の仲間割合,障害がある人やない人など様々な人がいるサークルの仲間,障害がある人やない人など様々な人がいるサークルの仲間割合,ボランティアの人たち,ボランティアの人たち割合,学校の先生や学校の友達,学校の先生や学校の友達割合,その他の友人・知人,その他の友人・知人割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1008,100,557,55.3,319,31.6,146,14.5,80,7.9,24,2.4,16,1.6,72,7.1,64,6.3,32,3.2,13,1.3,130,12.9,55,5.5,2,0.2,39,3.9
身体障害者,609,100,338,55.5,170,27.9,86,14.1,45,7.4,9,1.5,13,2.1,37,6.1,37,6.1,14,2.3,4,0.7,80,13.1,35,5.7,1,0.2,31,5.1
知的障害者,233,100,68,29.2,90,38.6,75,32.2,21,9,5,2.1,5,2.1,42,18,15,6.4,23,9.9,7,3,10,4.3,18,7.7,1,0.4,9,3.9
精神障害者,151,100,98,64.9,37,24.5,16,10.6,7,4.6,2,1.3,3,2,9,6,7,4.6,3,2,2,1.3,14,9.3,4,2.6,0,0,5,3.3
自立支援医療受給者,75,100,53,70.7,22,29.3,9,12,5,6.7,0,0,1,1.3,4,5.3,2,2.7,2,2.7,1,1.3,9,12,4,5.3,0,0,2,2.7
難病医療費助成者,232,100,153,65.9,82,35.3,13,5.6,23,9.9,9,3.9,3,1.3,5,2.2,13,5.6,2,0.9,3,1.3,41,17.7,12,5.2,0,0,9,3.9
医療費助成対象外の難病患者,10,100,7,70,0,0,0,0,0,0,1,10,0,0,0,0,2,20,0,0,0,0,2,20,1,10,0,0,0,0
発達障害と診断,20,100,14,70,9,45,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,5,4,20,1,5,0,0,0,0
高次脳機能障害と診断,17,100,8,47.1,7,41.2,9,52.9,1,5.9,0,0,2,11.8,3,17.6,1,5.9,1,5.9,0,0,1,5.9,1,5.9,0,0,1,5.9
認知症と診断,5,100,1,20,2,40,3,60,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
