区分,総数,総数割合,コンサートや映画、演劇などに行く,コンサートや映画、演劇などに行く割合,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）割合,動物園や植物園、水族館などに行く,動物園や植物園、水族館などに行く割合,音楽活動をする（歌や楽器の演奏など）,音楽活動をする（歌や楽器の演奏など）割合,美術などの創作活動をする（絵画、彫刻、書道、華道など）,美術などの創作活動をする（絵画、彫刻、書道、華道など）割合,文芸活動をする（短歌・俳句、詩作、小説、評論など）,文芸活動をする（短歌・俳句、詩作、小説、評論など）割合,後援会、セミナー、各種講座に参加する,後援会、セミナー、各種講座に参加する割合,伝統文化などの活動をする（伝統芸能、茶道など）,伝統文化などの活動をする（伝統芸能、茶道など）割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,613,41.9,445,30.4,427,29.2,176,12,123,8.4,41,2.8,149,10.2,33,2.3,47,3.2,424,29,117,8
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,329,36,263,28.8,251,27.5,100,10.9,72,7.9,28,3.1,96,10.5,24,2.6,36,3.9,294,32.2,81,8.9
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,143,39.5,74,20.4,121,33.4,71,19.6,31,8.6,1,0.3,11,3,4,1.1,10,2.8,105,29,29,8
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,89,36.9,61,25.3,55,22.8,18,7.5,23,9.5,9,3.7,21,8.7,6,2.5,8,3.3,78,32.4,28,11.6
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,47,43.5,37,34.3,34,31.5,16,14.8,17,15.7,5,4.6,13,12,3,2.8,3,2.8,32,29.6,6,5.6
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,166,52.5,111,35.1,97,30.7,34,10.8,30,9.5,11,3.5,45,14.2,6,1.9,5,1.6,74,23.4,22,7
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,22,100,10,45.5,6,27.3,4,18.2,3,13.6,3,13.6,1,4.5,3,13.6,1,4.5,0,0,4,18.2,6,27.3
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,13,43.3,12,40,10,33.3,6,20,6,20,2,6.7,3,10,0,0,2,6.7,7,23.3,1,3.3
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,5,20,11,44,6,24,2,8,5,20,1,4,2,8,1,4,1,4,7,28,4,16
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,2,20
Q2年代／10代,27,100,14,51.9,12,44.4,13,48.1,10,37,6,22.2,0,0,4,14.8,1,3.7,0,0,3,11.1,1,3.7
Q2年代／20代,185,100,110,59.5,54,29.2,76,41.1,42,22.7,18,9.7,2,1.1,8,4.3,2,1.1,6,3.2,30,16.2,3,1.6
Q2年代／30代,176,100,86,48.9,61,34.7,75,42.6,30,17,22,12.5,4,2.3,19,10.8,6,3.4,6,3.4,44,25,6,3.4
Q2年代／40代,191,100,106,55.5,65,34,69,36.1,24,12.6,16,8.4,2,1,27,14.1,3,1.6,5,2.6,46,24.1,7,3.7
Q2年代／50代,189,100,96,50.8,73,38.6,57,30.2,24,12.7,20,10.6,6,3.2,24,12.7,7,3.7,4,2.1,48,25.4,9,4.8
Q2年代／60代,248,100,95,38.3,85,34.3,61,24.6,18,7.3,16,6.5,9,3.6,30,12.1,5,2,8,3.2,74,29.8,23,9.3
Q2年代／70代,269,100,83,30.9,71,26.4,54,20.1,21,7.8,20,7.4,11,4.1,29,10.8,5,1.9,10,3.7,98,36.4,28,10.4
Q2年代／80代以上,170,100,22,12.9,23,13.5,22,12.9,7,4.1,5,2.9,7,4.1,7,4.1,4,2.4,8,4.7,78,45.9,37,21.8
