区分,総数,総数割合,受付・案内,受付・案内割合,活動の指導、手伝い,活動の指導、手伝い割合,イベント等の会場準備の手伝い,イベント等の会場準備の手伝い割合,清掃,清掃割合,移動や身の回りの介助などの手伝い,移動や身の回りの介助などの手伝い割合,手話などのコミュニケーションの手伝い,手話などのコミュニケーションの手伝い割合,話し相手、遊び相手、学習支援,話し相手、遊び相手、学習支援割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,149,10.2,140,9.6,163,11.1,108,7.4,61,4.2,50,3.4,146,10,41,2.8,795,54.3,210,14.4
身体障害者,914,100,77,8.4,83,9.1,88,9.6,51,5.6,32,3.5,34,3.7,79,8.6,28,3.1,505,55.3,153,16.7
知的障害者,362,100,18,5,11,3,35,9.7,32,8.8,5,1.4,5,1.4,17,4.7,10,2.8,222,61.3,55,15.2
精神障害者,241,100,26,10.8,27,11.2,27,11.2,25,10.4,15,6.2,12,5,29,12,6,2.5,119,49.4,40,16.6
自立支援医療受給者,108,100,16,14.8,22,20.4,17,15.7,13,12,7,6.5,4,3.7,17,15.7,3,2.8,53,49.1,7,6.5
難病医療費助成者,316,100,55,17.4,42,13.3,46,14.6,18,5.7,24,7.6,10,3.2,57,18,11,3.5,153,48.4,31,9.8
医療費助成対象外の難病患者,22,100,2,9.1,3,13.6,4,18.2,3,13.6,2,9.1,2,9.1,4,18.2,1,4.5,10,45.5,3,13.6
発達障害と診断,30,100,4,13.3,5,16.7,4,13.3,5,16.7,3,10,1,3.3,4,13.3,0,0,15,50,3,10
高次脳機能障害と診断,25,100,1,4,2,8,2,8,2,8,0,0,0,0,1,4,1,4,13,52,5,20
認知症と診断,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,1,10
