今後行いたい文化、芸術活動〔複数回答〕（Q19(2)）－障害別、年代別,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
区分,総数,総数割合,コンサートや映画、演劇などに行く,コンサートや映画、演劇などに行く割合,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）割合,動物園や植物園、水族館などに行く,動物園や植物園、水族館などに行く割合,音楽活動をする（歌や楽器の演奏など）,音楽活動をする（歌や楽器の演奏など）割合,美術などの創作活動をする（絵画、彫刻、書道、華道など）,美術などの創作活動をする（絵画、彫刻、書道、華道など）割合,文芸活動をする（短歌・俳句、詩作、小説、評論など）,文芸活動をする（短歌・俳句、詩作、小説、評論など）割合,後援会、セミナー、各種講座に参加する,後援会、セミナー、各種講座に参加する割合,伝統文化などの活動をする（伝統芸能、茶道など）,伝統文化などの活動をする（伝統芸能、茶道など）割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,725,49.6,519,35.5,526,36,258,17.6,232,15.9,86,5.9,213,14.6,100,6.8,35,2.4,318,21.7,108,7.4
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,415,45.4,314,34.4,310,33.9,130,14.2,120,13.1,54,5.9,140,15.3,60,6.6,26,2.8,222,24.3,78,8.5
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,165,45.6,90,24.9,134,37,90,24.9,52,14.4,2,0.6,10,2.8,10,2.8,9,2.5,84,23.2,29,8
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,109,45.2,76,31.5,72,29.9,34,14.1,42,17.4,18,7.5,34,14.1,21,8.7,8,3.3,57,23.7,26,10.8
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,55,50.9,40,37,53,49.1,28,25.9,28,25.9,11,10.2,17,15.7,14,13,4,3.7,27,25,5,4.6
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,188,59.5,130,41.1,123,38.9,61,19.3,64,20.3,19,6,70,22.2,24,7.6,2,0.6,54,17.1,18,5.7
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,22,100,10,45.5,8,36.4,8,36.4,4,18.2,2,9.1,3,13.6,4,18.2,3,13.6,0,0,3,13.6,4,18.2
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,17,56.7,10,33.3,14,46.7,7,23.3,8,26.7,2,6.7,1,3.3,4,13.3,3,10,4,13.3,2,6.7
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,13,52,11,44,11,44,3,12,4,16,1,4,0,0,2,8,2,8,3,12,4,16
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,3,30,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,50,2,20
Q2年代／10代,27,100,13,48.1,12,44.4,19,70.4,15,55.6,9,33.3,0,0,3,11.1,5,18.5,0,0,1,3.7,2,7.4
Q2年代／20代,185,100,116,62.7,68,36.8,85,45.9,57,30.8,42,22.7,5,2.7,15,8.1,13,7,8,4.3,24,13,4,2.2
Q2年代／30代,176,100,101,57.4,70,39.8,85,48.3,48,27.3,40,22.7,11,6.3,21,11.9,14,8,4,2.3,25,14.2,7,4
Q2年代／40代,191,100,111,58.1,72,37.7,78,40.8,39,20.4,31,16.2,13,6.8,34,17.8,23,12,7,3.7,41,21.5,5,2.6
Q2年代／50代,189,100,113,59.8,82,43.4,77,40.7,35,18.5,40,21.2,22,11.6,43,22.8,23,12.2,2,1.1,32,16.9,6,3.2
Q2年代／60代,248,100,129,52,101,40.7,86,34.7,31,12.5,41,16.5,16,6.5,41,16.5,10,4,4,1.6,46,18.5,19,7.7
Q2年代／70代,269,100,103,38.3,75,27.9,67,24.9,26,9.7,20,7.4,14,5.2,46,17.1,9,3.3,5,1.9,85,31.6,29,10.8
Q2年代／80代以上,170,100,36,21.2,39,22.9,28,16.5,5,2.9,9,5.3,5,2.9,10,5.9,3,1.8,5,2.9,63,37.1,32,18.8
