区分,総数,総数割合,活動場所のバリアフリー化,活動場所のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動場までの送迎,活動場までの送迎割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問い合わせ方法の充実,障害に対応した情報の提供や問い合わせ方法の充実割合,施設等を利用する際に必要な手続きの支援,施設等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に観戦する仲間,一緒に観戦する仲間割合,ボランティア活動に関する情報提供の充実,ボランティア活動に関する情報提供の充実割合,その他,その他割合,特にない,特にない割合,後押ししたいと思わない,後押ししたいと思わない割合,わからない,わからない割合,無回答,無回答割合
団体総数,23,100.0,7,30.4,6,26.1,6,13.0,4,17.4,9,39.1,1,4.3,4,17.4,1,4.3,7,30.4,3,13.0,1,4.3,1,4.3,1,4.3,3,13.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／肢体不自由,5,100.0,4,80.0,3,60.0,0,0.0,1,20.0,2,40.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／視覚障害,3,100.0,1,33.3,1,33.3,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3
Q1.当事者会員の障害名、最も当事者会員数が多い障害／聴覚障害,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／音声・言語・そしゃく機能障害,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／知的障害,2,100.0,1,50.0,1,50.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／精神障害,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／内部障害、難病等,3,100.0,0,0.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／その他,1,100.0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0

