区分,総数,総数割合,スタジアム・体育館などで実際に観戦したことがある,スタジアム・体育館などで実際に観戦したことがある割合,沿道で実際に観戦したことがある,沿道で実際に観戦したことがある割合,テレビ、ラジオ、インターネット等で観戦したことがある,テレビ、ラジオ、インターネット等で観戦したことがある割合,その他,その他割合,観戦したことはない,観戦したことはない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,211,14.4,3.3,2.3,1010,69,25,1.7,280,19.1,35,2.4,71,4.9
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,118,12.9,20,2.2,664,72.6,20,2.2,151,16.5,20,2.2,45,4.9
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,54,14.9,9,2.5,182,50.3,7,1.9,117,32.3,20,5.5,20,5.5
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,29,12,7,2.9,153,63.5,3,1.2,45,18.7,9,3.7,23,9.5
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,13,12,3,2.8,77,71.3,1,0.9,25,23.1,1,0.9,4,3.7
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,53,16.8,5,1.6,244,77.2,2,0.6,43,13.6,1,0.3,11,3.5
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象,22,100,2,9.1,1,4.5,15,68.2,0,0,3,13.6,0,0,4,18.2
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,5,16.7,1,3.3,17,56.7,0,0,10,33.3,2,6.7,1,3.3
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,2,8,1,4,15,60,1,4,6,24,0,0,4,16
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,0,0,0,0,5,50,0,0,2,20,2,20,1,10
Q2年代／10代,27,100,5,18.5,1,3.7,14,51.9,0,0,9,33.3,1,3.7,1,3.7
Q2年代／20代,185,100,27,14.6,5,2.7,102,55.1,1,0.5,59,31.9,8,4.3,5,2.7
Q2年代／30代,176,100,28,15.9,4,2.3,101,57.4,4,2.3,56,31.8,3,1.7,5,2.8
Q2年代／40代,191,100,50,26.2,4,2.1,137,71.7,2,1,36,18.8,7,3.7,1,0.5
Q2年代／50代,189,100,27,14.3,3,1.6,141,74.6,3,1.6,27,14.3,3,1.6,6,3.2
Q2年代／60代,248,100,28,11.3,8,3.2,187,75.4,8,3.2,31,12.5,4,1.6,17,6.9
Q2年代／70代,269,100,39,14.5,6,2.2,209,77.7,5,1.9,29,10.8,5,1.9,16,5.9
Q2年代／80代以上,170,100,7,4.1,2,1.2,115,67.6,2,1.2,33,19.4,3,1.8,17,10
