区分,総数,総数割合,それぞれの障害者が情報入手できるようさまざまな媒体（発声、点字、テキストデータなど）で提供してほしい,それぞれの障害者が情報入手できるようさまざまな媒体（発声、点字、テキストデータなど）で提供してほしい割合,誰もが読みやすい文字などを使用してほしい,誰もが読みやすい文字などを使用してほしい割合,パンフレットやホームページなどを色の使い方に配慮して作成してほしい,パンフレットやホームページなどを色の使い方に配慮して作成してほしい割合,問い合わせ先は電話番号だけでなく、ファックスやメールアドレスを載せてほしい,問い合わせ先は電話番号だけでなく、ファックスやメールアドレスを載せてほしい割合,SNS（ツイッター、フェイスブックなど）で発信してほしい,SNS（ツイッター、フェイスブックなど）で発信してほしい割合,手話、筆談で対応できる人を増やしてほしい,手話、筆談で対応できる人を増やしてほしい割合,わかりやすい文言・表現・絵文字（ピクトグラム）を使用してほしい,わかりやすい文言・表現・絵文字（ピクトグラム）を使用してほしい割合,動画などでわかる資料を作成してほしい,動画などでわかる資料を作成してほしい割合,必要な情報をわかりやすく説明してくれる人がほしい,必要な情報をわかりやすく説明してくれる人がほしい割合,その他,その他割合,特にない,特にない割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,162,17.7,198,21.7,53,5.8,128,14,48,5.3,61,6.7,115,12.6,61,6.7,186,20.4,29,3.2,218,23.9,83,9.1,105,11.5
視覚,119,100,47,39.5,37,31.1,13,10.9,7,5.9,4,3.4,2,1.7,12,10.1,3,2.5,32,26.9,4,3.4,20,16.8,9,7.6,13,10.9
聴覚,133,100,29,21.8,31,23.3,5,3.8,43,32.3,15,11.3,41,30.8,14,10.5,9,6.8,28,21.1,5,3.8,18,13.5,8,6,12,9
平衡機能,28,100,3,10.7,5,17.9,1,3.6,1,3.6,0,0,1,3.6,7,25,1,3.6,9,32.1,0,0,2,7.1,5,17.9,8,28.6
音声機能・言語機能・そしゃく機能,93,100,14,15.1,13,14,2,2.2,11,11.8,3,3.2,10,10.8,16,17.2,6,6.5,20,21.5,3,3.2,21,22.6,14,15.1,8,8.6
上肢,175,100,30,17.1,27,15.4,8,4.6,19,10.9,6,3.4,8,4.6,31,17.7,12,6.9,45,25.7,10,5.7,39,22.3,24,13.7,14,8
下肢,261,100,37,14.2,53,20.3,16,6.1,29,11.1,9,3.4,7,2.7,37,14.2,12,4.6,53,20.3,12,4.6,63,24.1,35,13.4,32,12.3
体幹,105,100,19,18.1,19,18.1,5,4.8,9,8.6,4,3.8,3,2.9,24,22.9,11,10.5,29,27.6,3,2.9,17,16.2,17,16.2,16,15.2
脳原性運動機能,72,100,14,19.4,11,15.3,3,4.2,10,13.9,6,8.3,2,2.8,11,15.3,14,19.4,20,27.8,7,9.7,10,13.9,11,15.3,4,5.6
内部障害,259,100,32,12.4,55,21.2,11,4.2,29,11.2,14,5.4,6,2.3,26,10,15,5.8,43,16.6,6,2.3,82,31.7,18,6.9,33,12.7
