区分,総数,総数割合,コンサートや映画、演劇などに行く,コンサートや映画、演劇などに行く割合,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）割合,動物園や植物園、水族館などに行く,動物園や植物園、水族館などに行く割合,音楽活動をする（歌や楽器の演奏など）,音楽活動をする（歌や楽器の演奏など）割合,美術などの創作活動をする（絵画、彫刻、書道、華道など）,美術などの創作活動をする（絵画、彫刻、書道、華道など）割合,文芸活動をする（短歌・俳句、詩作、小説、評論など）,文芸活動をする（短歌・俳句、詩作、小説、評論など）割合,後援会、セミナー、各種講座に参加する,後援会、セミナー、各種講座に参加する割合,伝統文化などの活動をする（伝統芸能、茶道など）,伝統文化などの活動をする（伝統芸能、茶道など）割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
身体障害者総数,914,100,329,36,263,28.8,251,27.5,100,10.9,72,7.9,28,3.1,96,10.5,24,2.6,36,3.9,294,32.2,81,8.9
視覚,119,100,35,29.4,25,21,30,25.2,18,15.1,5,4.2,7,5.9,11,9.2,5,4.2,6,5,46,38.7,8,6.7
聴覚,133,100,43,32.3,47,35.3,34,25.6,8,6,8,6,0,0,14,10.5,3,2.3,7,5.3,44,33.1,11,8.3
平衡機能,28,100,5,17.9,5,17.9,8,28.6,2,7.1,1,3.6,2,7.1,1,3.6,0,0,1,3.6,10,35.7,3,10.7
音声機能・言語機能・そしゃく機能,93,100,21,22.6,26,28,26,28,7,7.5,11,11.8,1,1.1,10,10.8,2,2.2,3,3.2,39,41.9,8,8.6
上肢,175,100,63,36,43,24.6,58,33.1,24,13.7,30,17.1,10,5.7,18,10.3,6,3.4,7,4,57,32.6,12,6.9
下肢,261,100,85,32.6,71,27.2,78,29.9,29,11.1,27,10.3,12,4.6,29,11.1,6,2.3,13,5,88,33.7,19,7.3
体幹,105,100,24,22.9,25,23.8,34,32.4,18,17.1,14,13.3,4,3.8,8,7.6,1,1,4,3.8,32,30.5,13,12.4
脳原性運動機能,72,100,29,40.3,19,26.4,28,38.9,15,20.8,13,18.1,1,1.4,6,8.3,1,1.4,2,2.8,22,30.6,4,5.6
内部障害,259,100,107,41.3,85,32.8,59,22.8,25,9.7,16,6.2,5,1.9,27,10.4,11,4.2,6,2.3,80,30.9,26,10
