区分,総数,総数割合,親,親割合,配偶者（夫、妻）,配偶者割合（夫、妻）,子供,子供割合,兄弟姉妹,兄弟姉妹割合,その他の親族,その他の親族割合,一人で暮らしている,一人で暮らしている割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,414,28.3,601,41.1,352,24.1,171,11.7,46,3.1,260,17.8,91,6.2,12,0.8
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,173,18.9,432,47.3,253,27.7,70,7.7,31,3.4,177,19.4,45,4.9,7,0.8
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,235,64.9,38,10.5,24,6.6,119,32.9,17,4.7,29,8,52,14.4,3,0.8
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,80,33.2,71,29.5,42,17.4,15,6.2,8,3.3,61,25.3,15,6.2,2,0.8
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,48,44.4,22,20.4,17,15.7,14,13,4,3.7,31,28.7,7,6.5,0,0
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,42,13.3,199,63,112,35.4,12,3.8,8,2.5,50,15.8,11,3.5,2,0.6
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,22,100,0,0,13,59.1,9,40.9,0,0,2,9.1,3,13.6,0,0,0,0
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,24,80,1,3.3,2,6.7,9,30,2,6.7,3,10,2,6.7,0,0
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,5,20,14,56,7,28,3,12,2,8,0,0,2,8,1,4
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,0,0,3,30,4,40,1,10,0,0,0,0,1,10,1,10
Q2年代／10代,27,100,24,88.9,0,0,0,0,16,59.3,3,11.1,0,0,3,11.1,0,0
Q2年代／20代,185,100,152,82.2,6,3.2,3,1.6,91,49.2,15,8.1,17,9.2,14,7.6,0,0
Q2年代／30代,176,100,95,54,32,18.2,17,9.7,26,14.8,1,0.6,29,16.5,20,11.4,2,1.1
Q2年代／40代,191,100,83,43.5,58,30.4,42,22,8,4.2,2,1,33,17.3,11,5.8,0,0
Q2年代／50代,189,100,44,23.3,92,48.7,64,33.9,12,6.3,4,2.1,36,19,12,6.3,0,0
Q2年代／60代,248,100,14,5.6,160,64.5,83,33.5,12,4.8,5,2,51,20.6,14,5.6,2,0.8
Q2年代／70代,269,100,0,0,177,65.8,80,29.7,3,1.1,5,1.9,55,20.4,7,2.6,2,0.7
Q2年代／80代以上,170,100,0,0,75,44.1,62,36.5,3,1.8,11,6.5,39,22.9,9,5.3,2,1.2

