区分,総数,総数割合,スタジアム・体育館などで観戦したい,スタジアム・体育館などで観戦したい割合,沿道で観戦したい,沿道で観戦したい割合,テレビ、ラジオ、インターネット配信等で観戦したい,テレビ、ラジオ、インターネット配信等で観戦したい割合,ボランティアとして関わりたい,ボランティアとして関わりたい割合,関わりたいと思わない,関わりたいと思わない割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,262,28.7,79,8.6,557,60.9,72,7.9,97,10.6,26,2.8,50,5.5,61,6.7
視覚,119,100,24,20.2,6,5,75,63,7,5.9,17,14.3,4,3.4,4,3.4,10,8.4
聴覚,133,100,39,29.3,11,8.3,76,57.1,18,13.5,10,7.5,8,6,8,6,8,6
平衡機能,28,100,3,10.7,1,3.6,19,67.9,0,0,1,3.6,2,7.1,3,10.7,5,17.9
音声機能・言語機能・そしゃく機能,93,100,30,32.3,9,9.7,56,60.2,4,4.3,11,11.8,6,6.5,5,5.4,8,8.6
上肢,175,100,53,30.3,17,9.7,99,56.6,8,4.6,18,10.3,7,4,14,8,11,6.3
下肢,261,100,70,26.8,24,9.2,158,60.5,10,3.8,27,10.3,11,4.2,16,6.1,18,6.9
体幹,105,100,30,28.6,7,6.7,51,48.6,6,5.7,14,13.3,4,3.8,10,9.5,12,11.4
脳原性運動機能,72,100,21,29.2,6,8.3,39,54.2,2,2.8,6,8.3,3,4.2,10,13.9,5,6.9
内部障害,259,100,89,34.4,28,10.8,172,66.4,25,9.7,18,6.9,4,1.5,13,5,9,3.5
