区分,総数,総数割合,行った,行った割合,行った／ウォーキング、散歩,行った／ウォーキング、散歩割合,行った／体操,行った／体操割合,行った／室内運動器具を用いる運動,行った／室内運動器具を用いる運動割合,行った／陸上競技,行った／陸上競技割合,行った／水泳・遊泳,行った／水泳・遊泳割合,行った／球技,行った／球技割合,行った／ダンス,行った／ダンス割合,行った／格闘技,行った／格闘技割合,行った／武道,行った／武道割合,行った／射的,行った／射的割合,行った／ウィンタースポーツ,行った／ウィンタースポーツ割合,行った／ウォータースポーツ,行った／ウォータースポーツ割合,行った／スカイスポーツ,行った／スカイスポーツ割合,行った／アウトドアスポーツ,行った／アウトドアスポーツ割合,行った／サイクリング、モータースポーツ,行った／サイクリング、モータースポーツ割合,行った／ブラインドサッカー,行った／ブラインドサッカー割合,行った／車いすテニス,行った／車いすテニス割合,行った／サウンドテーブルテニス,行った／サウンドテーブルテニス割合,行った／シッティングバレーボール,行った／シッティングバレーボール割合,行った／車椅子バスケットボール,行った／車椅子バスケットボール割合,行った／ウィルチェアーラグビー,行った／ウィルチェアーラグビー割合,行った／ボッチャ,行った／ボッチャ割合,行った／その他,行った／その他割合,行っていない,行っていない割合,無回答,無回答割合
障害者等総数,1463,100,1008,68.9,800,54.7,437,29.9,225,15.4,68,4.6,155,10.6,107,7.3,66,4.5,2,0.1,4,0.3,12,0.8,30,2.1,11,0.8,0,0,72,4.9,55,3.8,0,0,0,0,2,0.1,1,0.1,0,0,0,0,11,0.8,84,5.7,431,29.5,24,1.6
身体障害者,914,100,609,66.6,486,53.2,247,27,139,15.2,27,3,77,8.4,57,6.2,26,2.8,0,0,0,0,5,0.5,9,1,7,0.8,0,0,42,4.6,34,3.7,0,0,0,0,2,0.2,1,0.1,0,0,0,0,7,0.8,54,5.9,291,31.8,14,1.5
知的障害者,362,100,233,64.4,173,47.8,84,23.2,32,8.8,27,7.5,64,17.7,38,10.5,29,8,0,0,0,0,2,0.6,10,2.8,2,0.6,0,0,12,3.3,10,2.8,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9,28,7.7,122,33.7,7,1.9
精神障害者,241,100,151,62.7,116,48.1,61,25.3,28,11.6,10,4.1,18,7.5,10,4.1,10,4.1,1,0.4,2,0.8,2,0.8,4,1.7,2,0.8,0,0,8,3.3,9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2,6,2.5,81,33.6,9,3.7
自立支援医療受給者,108,100,75,69.4,65,60.2,31,28.7,12,11.1,8,7.4,15,13.9,6,5.6,4,3.7,0,0,0,0,2,1.9,0,0,1,0.9,0,0,6,5.6,4,3.7,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,2,1.9,33,30.6,0,0
難病医療費助成者,316,100,232,73.4,190,60.1,127,40.2,67,21.2,13,4.1,25,7.9,27,8.5,10,3.2,1,0.3,1,0.3,6,1.9,11,3.5,2,0.6,0,0,18,5.7,11,3.5,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0,14,4.4,82,25.9,2,0.6
医療費助成対象外の難病患者,22,100,10,45.5,6,27.3,6,27.3,4,18.2,1,4.5,1,4.5,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,9.1,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,9,40.9,3,13.6
発達障害と診断,30,100,20,66.7,17,56.7,5,16.7,3,10,2,6.7,3,10,1,3.3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,4,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,10,33.3,0,0
高次脳機能障害と診断,25,100,17,68,13,52,11,44,7,28,1,4,2,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,28,1,4
認知症と診断,10,100,5,50,1,10,3,30,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0
