区分,総数,総数割合,ウォーキング、散歩,ウォーキング、散歩割合,体操,体操割合,室内運動器具を用いる運動,室内運動器具を用いる運動割合,陸上競技,陸上競技割合,水泳・遊泳,水泳・遊泳割合,球技,球技割合,ダンス,ダンス割合,格闘技,格闘技割合,武道,武道割合,射的,射的割合,ウィンタースポーツ,ウィンタースポーツ割合,ウォータースポーツ,ウォータースポーツ割合,スカイスポーツ,スカイスポーツ割合,アウトドアスポーツ,アウトドアスポーツ割合,サイクリング、モータースポーツ,サイクリング、モータースポーツ割合,ブラインドサッカー,ブラインドサッカー割合,車いすテニス,車いすテニス割合,サウンドテーブルテニス,サウンドテーブルテニス割合,シッティングバレーボール,シッティングバレーボール割合,車椅子バスケットボール,車椅子バスケットボール割合,ウィルチェアーラグビー,ウィルチェアーラグビー割合,ボッチャ,ボッチャ割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,725,49.6,412,28.2,237,16.2,86,5.9,319,21.8,142,9.7,135,9.2,23,1.6,44,3,63,4.3,86,5.9,60,4.1,27,1.8,142,9.7,81,5.5,2,0.1,2,0.1,6,0.4,1,0.1,2,0.1,0,0,21,1.4,56,3.8,283,19.3,91,6.2
身体障害者,914,100,454,49.7,240,26.3,152,16.6,42,4.6,163,17.8,65,7.1,60,6.6,8,0.9,19,2.1,31,3.4,37,4,37,4,17,1.9,79,8.6,45,4.9,1,0.1,2,0.2,4,0.4,1,0.1,1,0.1,0,0,16,1.8,34,3.7,187,20.5,62,6.8
知的障害者,362,100,147,40.6,72,19.9,38,10.5,31,8.6,102,28.2,39,10.8,38,10.5,6,1.7,8,2.2,11,3,22,6.1,9,2.5,2,0.6,31,8.6,19,5.2,0,0,1,0.3,0,0,1,0.3,0,0,0,0,9,2.5,17,4.7,97,26.8,22,6.1
精神障害者,241,100,116,48.1,65,27,29,12,14,5.8,44,18.3,31,12.9,21,8.7,6,2.5,15,6.2,17,7.1,16,6.6,12,5,5,2.1,20,8.3,15,6.2,1,0.4,0,0,1,0.4,0,0,1,0.4,0,0,4,1.7,8,3.3,41,17,24,10
自立支援医療受給者,108,100,54,50,28,25.9,15,13.9,10,9.3,27,25,17,15.7,11,10.2,4,3.7,6,5.6,9,8.3,10,9.3,8,7.4,5,4.6,15,13.9,10,9.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,5,4.6,16,14.8,7,6.5
難病医療費助成者,316,100,174,55.1,124,39.2,70,22.2,16,5.1,76,24.1,27,8.5,47,14.9,6,1.9,9,2.8,19,6,28,8.9,14,4.4,9,2.8,38,12,17,5.4,0,0,0,0,2,0.6,0,0,0,0,0,0,1,0.3,15,4.7,49,15.5,11,3.5
医療費助成対象外の難病患者,22,100,11,50,4,18.2,4,18.2,0,0,6,27.3,0,0,3,13.6,0,0,1,4.5,1,4.5,1,4.5,1,4.5,0,0,2,9.1,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,1,4.5,5,22.7
発達障害と診断,30,100,10,33.3,10,33.3,5,16.7,2,6.7,8,26.7,6,20,2,6.7,0,0,2,6.7,4,13.3,3,10,2,6.7,3,10,4,13.3,5,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.7,5,16.7,4,13.3
高次脳機能障害と診断,25,100,12,48,7,28,3,12,2,8,4,16,1,4,1,4,0,0,0,0,0,0,1,4,0,0,0,0,2,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,8,3,12,7,28
認知症と診断,10,100,2,20,3,30,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,2,20
