区分,総数,総数割合,スタジアム、体育館などの建物や設備のバリアフリー化,スタジアム、体育館などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,会場までの送迎,会場までの送迎割合,障害者への施設開放の促進,障害者への施設開放の促進割合,障害にあわせたプログラムの充実,障害にあわせたプログラムの充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設や用具等を利用する際に必要な手続きの支援,施設や用具等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,適切な指導者,適切な指導者割合,一緒に行う仲間,一緒に行う仲間割合,スポーツ用具等の貸出,スポーツ用具等の貸出割合,施設の利用料減免,施設の利用料減免割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,207,14.1,190,13,218,14.9,142,9.7,213,14.6,92,6.3,182,12.4,86,5.9,94,6.4,373,25.5,286,19.5,86,5.9,209,14.3,32,2.2,245,16.7,48,3.3,87,5.9,150,10.3
身体障害者,914,100,147,16.1,135,14.8,146,16,78,8.5,131,14.3,79,8.6,116,12.7,48,5.3,62,6.8,214,23.4,159,17.4,41,4.5,103,11.3,20,2.2,154,16.8,36,3.9,52,5.7,100,10.9
知的障害者,362,100,55,15.2,40,11,76,21,61,16.9,78,21.5,36,9.9,51,14.1,32,8.8,28,7.7,107,29.6,90,24.9,17,4.7,52,14.4,7,1.9,37,10.2,12,3.3,26,7.2,40,11
精神障害者,241,100,30,12.4,28,11.6,30,12.4,33,13.7,40,16.6,8,3.3,42,17.4,18,7.5,17,7.1,49,20.3,43,17.8,23,9.5,53,22,5,2.1,34,14.1,8,3.3,14,5.8,29,12
自立支援医療受給者,108,100,13,12,14,13,13,12,16,14.8,22,20.4,8,7.4,27,25,13,12,9,8.3,27,25,29,26.9,13,12,42,38.9,3,2.8,16,14.8,5,4.6,5,4.6,5,4.6
難病医療費助成者,316,100,41,13,46,14.6,37,11.7,16,5.1,29,9.2,4,1.3,24,7.6,14,4.4,12,3.8,74,23.4,60,19,25,7.9,53,16.8,7,2.2,80,25.3,4,1.3,16,5.1,23,7.3
医療費助成対象外の難病患者,22,100,1,4.5,0,0,2,9.1,1,4.5,1,4.5,0,0,3,13.6,2,9.1,1,4.5,8,36.4,3,13.6,2,9.1,5,22.7,1,4.5,3,13.6,1,4.5,3,13.6,1,4.5
発達障害と診断,30,100,3,10,2,6.7,3,10,4,13.3,4,13.3,0,0,10,33.3,3,10,5,16.7,9,30,7,23.3,6,20,7,23.3,1,3.3,1,3.3,2,6.7,3,10,1,3.3
高次脳機能障害と診断,25,100,5,20,2,8,7,28,1,4,8,32,3,12,4,16,1,4,2,8,6,24,9,36,0,0,5,20,0,0,0,0,0,0,0,0,7,28
認知症と診断,10,100,0,0,2,20,2,20,0,0,2,20,2,20,1,10,0,0,0,0,3,30,3,30,0,0,0,0,0,0,2,20,0,0,0,0,2,20
