区分,総数,総数割合,活動場所のバリアフリー化,活動場所のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設等を利用する際に必要な手続きの支援,施設等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に行う仲間,一緒に行う仲間割合,ボランティア活動に関する情報提供の充実,ボランティア活動に関する情報提供の充実割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,135,9.2,139,9.5,162,11.1,68,4.6,189,12.9,90,6.2,77,5.3,214,14.6,220,15,35,2.4,270,18.5,161,11,193,13.2,252,17.2
受付・案内,149,100,37,24.8,31,20.8,35,23.5,10,6.7,48,32.2,22,14.8,19,12.8,46,30.9,66,44.3,3,2,16,10.7,1,0.7,6,4,3,2
活動の指導、手伝い,140,100,26,18.6,26,18.6,30,21.4,13,9.3,42,30,15,10.7,19,13.6,44,31.4,56,40,5,3.6,15,10.7,0,0,5,3.6,4,2.9
イベント等の会場準備の手伝い,163,100,34,20.9,23,14.1,28,17.2,17,10.4,48,29.4,27,16.6,26,16,52,31.9,70,42.9,3,1.8,27,16.6,0,0,10,6.1,3,1.8
清掃,108,100,14,13,15,13.9,22,20.4,13,12,31,28.7,18,16.7,16,14.8,41,38,46,42.6,3,2.8,12,11.1,0,0,8,7.4,2,1.9
移動や身の回りの介助などの手伝い,61,100,14,23,7,11.5,13,21.3,6,9.8,22,36.1,7,11.5,16,26.2,23,37.7,25,41,3,4.9,4,6.6,0,0,6,9.8,3,4.9
手話などコミュニケーションの手伝い,50,100,9,18,7,14,11,22,13,26,19,38,3,6,9,18,14,28,24,48,3,6,3,6,0,0,3,6,2,4
話し相手、遊び相手、学習支援,146,100,25,17.1,21,14.4,37,25.3,12,8.2,39,26.7,27,18.5,18,12.3,48,32.9,55,37.7,8,5.5,19,13,0,0,7,4.8,4,2.7
その他,41,100,3,7.3,6,14.6,5,12.2,1,2.4,5,12.2,0,0,2,4.9,10,24.4,11,26.8,4,9.8,8,19.5,0,0,5,12.2,5,12.2
特にない,795,100,51,6.4,58,7.3,55,6.9,27,3.4,56,7,30,3.8,22,2.8,62,7.8,43,5.4,18,2.3,197,24.8,158,19.9,159,20,74,9.3
