区分,総数,総数割合,スタジアム・体育館などで観戦したい,スタジアム・体育館などで観戦したい割合,沿道で観戦したい,沿道で観戦したい割合,テレビ、ラジオ、インターネット配信等で観戦したい,テレビ、ラジオ、インターネット配信等で観戦したい割合,ボランティアとして関わりたい,ボランティアとして関わりたい割合,関わりたいと思わない,関わりたいと思わない割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,329,22.5,118,8.1,784,53.6,141,9.6,189,12.9,35,2.4,128,8.7,125,8.5
Q29保有している手帳、難病医療費助成、障害の診断／身体障害者,914,100,198,21.7,65,7.1,515,56.3,72,7.9,116,12.7,27,3,73,8,82,9
Q29保有している手帳、難病医療費助成、障害の診断／知的障害者,362,100,94,26,42,11.6,142,39.2,24,6.6,56,15.5,13,3.6,55,15.2,29,8
Q29保有している手帳、難病医療費助成、障害の診断／精神障害者,241,100,36,14.9,12,5,115,47.7,25,10.4,35,14.5,5,2.1,23,9.5,31,12.9
Q29保有している手帳、難病医療費助成、障害の診断／自立支援医療受給者,108,100,23,21.3,11,10.2,63,58.3,16,14.8,21,19.4,0,0,5,4.6,8,7.4
Q29保有している手帳、難病医療費助成、障害の診断／難病医療費助成者,316,100,78,24.7,23,7.3,187,59.2,44,13.9,32,10.1,1,0.3,19,6,22,7
Q29保有している手帳、難病医療費助成、障害の診断／医療費助成対象外の難病患者,22,100,3,13.6,0,0,16,72.7,2,9.1,1,4.5,0,0,0,0,3,13.6
Q29保有している手帳、難病医療費助成、障害の診断／発達障害と診断,30,100,3,10,2,6.7,10,33.3,4,13.3,8,26.7,1,3.3,4,13.3,3,10
Q29保有している手帳、難病医療費助成、障害の診断／高次脳機能障害と診断,25,100,7,28,2,8,14,56,0,0,2,8,1,4,0,0,6,24
Q29保有している手帳、難病医療費助成、障害の診断／認知症と診断,10,100,1,10,1,10,5,50,0,0,1,10,1,10,2,20,1,10
Q2年代／10代,27,100,12,44.4,4,14.8,15,55.6,5,18.5,3,11.1,1,3.7,2,7.4,1,3.7
Q2年代／20代,185,100,55,29.7,17,9.2,79,42.7,24,13,24,13,4,2.2,32,17.3,6,3.2
Q2年代／30代,176,100,48,27.3,23,13.1,77,43.8,24,13.6,32,18.2,5,2.8,18,10.2,11,6.3
Q2年代／40代,191,100,64,33.5,27,14.1,88,46.1,33,17.3,27,14.1,5,2.6,21,11,11,5.8
Q2年代／50代,189,100,46,24.3,16,8.5,107,56.6,26,13.8,21,11.1,4,2.1,16,8.5,7,3.7
Q2年代／60代,248,100,41,16.5,13,5.2,150,60.5,16,6.5,41,16.5,5,2,10,4,22,8.9
Q2年代／70代,269,100,46,17.1,11,4.1,168,62.5,9,3.3,22,8.2,7,2.6,14,5.2,34,12.6
Q2年代／80代以上,170,100,16,9.4,5,2.9,98,57.6,3,1.8,18,10.6,4,2.4,14,8.2,31,18.2
