区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,748,51.1,155,10.6,444,30.3,3,0.2,2,0.1,24,1.6,14,1,4,0.3,6,0.4,7,0.5,36,2.5,70,4.8,12,0.8,64,4.4,179,12.2,141,9.6,7,0.5,8,0.5,103,7,426,29.1
身体障害者,914,100,411,45,96,10.5,260,28.4,3,0.3,2,0.2,19,2.1,13,1.4,3,0.3,6,0.7,7,0.8,33,3.6,65,7.1,12,1.3,60,6.6,108,11.8,97,10.6,6,0.7,4,0.4,67,7.3,302,33
知的障害者,362,100,141,39,13,3.6,59,16.3,1,0.3,0,0,3,0.8,1,0.3,1,0.3,1,0.3,3,0.8,5,1.4,7,1.9,0,0,9,2.5,69,19.1,64,17.7,0,0,0,0,44,12.2,86,23.8
精神障害者,241,100,135,56,21,8.7,78,32.4,0,0,0,0,7,2.9,1,0.4,0,0,1,0.4,2,0.8,9,3.7,9,3.7,0,0,6,2.5,26,10.8,16,6.6,1,0.4,3,1.2,14,5.8,66,27.4
自立支援医療受給者,108,100,80,74.1,9,8.3,43,39.8,1,0.9,0,0,2,1.9,1,0.9,0,0,0,0,1,0.9,2,1.9,3,2.8,0,0,3,2.8,20,18.5,12,11.1,1,0.9,2,1.9,10,9.3,14,13
難病医療費助成者,316,100,196,62,56,17.7,126,39.9,0,0,0,0,0,0,5,1.6,0,0,1,0.3,0,0,0,0,1,0.3,0,0,2,0.6,26,8.2,12,3.8,0,0,2,0.6,16,5.1,94,29.7
医療費助成対象外の難病患者,22,100,13,59.1,6,27.3,9,40.9,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,1,4.5,0,0,2,9.1,1,4.5,0,0,0,0,0,0,0,0,8,36.4
発達障害と診断,30,100,23,76.7,1,3.3,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,0,0,0,0,3,10,6,20,1,3.3,0,0,2,6.7,4,13.3,4,13.3
高次脳機能障害と診断,25,100,7,28,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,6,24,5,20,1,4,0,0,3,12,6,24
認知症と診断,10,100,1,10,1,10,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,10,3,30,0,0,1,10,4,40,6,60,0,0,0,0,1,10,1,10
