区分,総数,総数割合,活動場所のバリアフリー化,活動場所のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設等を利用する際に必要な手続きの支援,施設等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に行う仲間,一緒に行う仲間割合,ボランティア活動に関する情報提供の充実,ボランティア活動に関する情報提供の充実割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,135,9.2,139,9.5,162,11.1,68,4.6,189,12.9,90,6.2,77,5.3,214,14.6,220,15,35,2.4,270,18.5,161,11,193,13.2,252,17.2
身体障害者,914,100,96,10.5,99,10.8,96,10.5,51,5.6,106,11.6,47,5.1,47,5.1,113,12.4,108,11.8,20,2.2,162,17.7,101,11.1,120,13.1,188,20.6
知的障害者,362,100,24,6.6,25,6.9,44,12.2,25,6.9,46,12.7,28,7.7,20,5.5,66,18.2,39,10.8,8,2.2,52,14.4,40,11,71,19.6,66,18.2
精神障害者,241,100,28,11.6,25,10.4,30,12.4,8,3.3,41,17,16,6.6,14,5.8,39,16.2,41,17,7,2.9,37,15.4,31,12.9,26,10.8,44,18.3
自立支援医療受給者,108,100,10,9.3,10,9.3,19,17.6,9,8.3,26,24.1,10,9.3,4,3.7,24,22.2,25,23.1,7,6.5,12,11.1,21,19.4,11,10.2,10,9.3
難病医療費助成者,316,100,32,10.1,35,11.1,36,11.4,6,1.9,39,12.3,20,6.3,16,5.1,39,12.3,62,19.6,8,2.5,84,26.6,28,8.9,30,9.5,39,12.3
医療費助成対象外の難病患者,22,100,0,0,1,4.5,3,13.6,1,4.5,2,9.1,1,4.5,2,9.1,4,18.2,2,9.1,2,9.1,4,18.2,1,4.5,1,4.5,5,22.7
発達障害と診断,30,100,4,13.3,3,10,3,10,1,3.3,8,26.7,3,10,4,13.3,8,26.7,7,23.3,1,3.3,3,10,4,13.3,6,20,2,6.7
高次脳機能障害と診断,25,100,4,16,3,12,6,24,3,12,3,12,2,8,1,4,6,24,3,12,2,8,0,0,1,4,4,16,6,24
認知症と診断,10,100,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,10,0,0,0,0,3,30,2,20,2,20,2,20
