区分,総数,総数割合,スタジアム、体育館などの建物や設備のバリアフリー化,スタジアム、体育館などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,会場までの送迎,会場までの送迎割合,障害者に配慮した観戦席」の充実,障害者に配慮した観戦席」の充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,テレビ・インターネット等の文字情報、字幕の対応,テレビ・インターネット等の文字情報、字幕の対応割合,情報機器操作の支援,情報機器操作の支援割合,障害に対応した情報の提供や問い合わせ方法の充実,障害に対応した情報の提供や問い合わせ方法の充実割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に観戦する仲間,一緒に観戦する仲間割合,観戦料の減免,観戦料の減免割合,その他,その他割合,特にない,特にない割合,わからない,わからない割合,無回答,無回答割合
団体総数,23,100.0,11,47.8,7,30.4,3,13.0,8,34.8,3,13.0,2,8.7,0,0.0,8,34.8,1,4.3,1,4.3,5,21.7,3,13.0,0,0.0,1,4.3,1,4.3
Q1.当事者会員の障害名、最も当事者会員数が多い障害／肢体不自由,5,100.0,5,100.0,3,60.0,0,0.0,3,60,0,0.0,0,0.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／視覚障害,3,100.0,2,66.7,1,33.3,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／聴覚障害,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／音声・言語・そしゃく機能障害,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／知的障害,2,100.0,2,100.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／精神障害,4,100.0,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／内部障害、難病等,3,100.0,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,0.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
Q1.当事者会員の障害名、最も当事者会員数が多い障害／その他,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0

