区分,総数,総数割合,スタジアム・体育館などで観戦したい,スタジアム・体育館などで観戦したい割合,沿道で観戦したい,沿道で観戦したい割合,テレビ、ラジオ、インターネット配信等で観戦したい,テレビ、ラジオ、インターネット配信等で観戦したい割合,ボランティアとして関わりたい,ボランティアとして関わりたい割合,関わりたいと思わない,関わりたいと思わない割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,198,21.7,65,7.1,515,56.3,72,7.9,116,12.7,27,3,73,8,82,9
視覚,119,100,19,16,6,5,72,60.5,6,5,19,16,4,3.4,7,5.9,9,7.6
聴覚,133,100,28,21.1,11,8.3,64,48.1,19,14.3,16,12,6,4.5,13,9.8,12,9
平衡機能,28,100,3,10.7,2,7.1,15,53.6,0,0,4,14.3,2,7.1,3,10.7,6,21.4
音声機能・言語機能・そしゃく機能,93,100,22,23.7,7,7.5,52,55.9,3,3.2,15,16.1,6,6.5,9,9.7,9,9.7
上肢,175,100,46,26.3,14,8,92,52.6,10,5.7,22,12.6,8,4.6,21,12,11,6.3
下肢,261,100,57,21.8,19,7.3,147,56.3,11,4.2,29,11.1,13,5,23,8.8,23,8.8
体幹,105,100,25,23.8,6,5.7,51,48.6,7,6.7,15,14.3,4,3.8,12,11.4,12,11.4
脳原性運動機能,72,100,17,23.6,6,8.3,37,51.4,2,2.8,9,12.5,4,5.6,11,15.3,6,8.3
内部障害,259,100,61,23.6,22,8.5,164,63.3,25,9.7,24,9.3,3,1.2,17,6.6,21,8.1
