区分,総数,総数割合,スタジアム、体育館などの建物や設備のバリアフリー化,スタジアム、体育館などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,会場までの送迎,会場までの送迎割合,障害者への施設開放の促進,障害者への施設開放の促進割合,障害にあわせたプログラムの充実,障害にあわせたプログラムの充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設や用具等を利用する際に必要な手続きの支援,施設や用具等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,適切な指導者,適切な指導者割合,一緒に行う仲間,一緒に行う仲間割合,スポーツ用具等の貸出,スポーツ用具等の貸出割合,施設の利用料減免,施設の利用料減免割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
身体障害者総数,914,100,147,16.1,135,14.8,146,16,78,8.5,131,14.3,79,8.6,116,12.7,48,5.3,62,6.8,214,23.4,159,17.4,41,4.5,103,11.3,20,2.2,154,16.8,36,3.9,52,5.7,100,10.9
視覚,119,100,16,13.4,22,18.5,26,21.8,9,7.6,19,16,10,8.4,27,22.7,8,6.7,9,7.6,27,22.7,20,16.8,2,1.7,6,5,3,2.5,13,10.9,3,2.5,9,7.6,11,9.2
聴覚,133,100,14,10.5,10,7.5,13,9.8,6,4.5,12,9,27,20.3,24,18,7,5.3,14,10.5,29,21.8,24,18,6,4.5,10,7.5,4,3,30,22.6,9,6.8,9,6.8,11,8.3
平衡機能,28,100,5,17.9,4,14.3,8,28.6,2,7.1,4,14.3,5,17.9,3,10.7,1,3.6,3,10.7,11,39.3,5,17.9,0,0,4,14.3,0,0,3,10.7,1,3.6,3,10.7,5,17.9
音声機能・言語機能・そしゃく機能,93,100,15,16.1,13,14,14,15.1,9,9.7,13,14,13,14,7,7.5,2,2.2,6,6.5,24,25.8,19,20.4,1,1.1,7,7.5,1,1.1,20,21.5,3,3.2,5,5.4,10,10.8
上肢,175,100,42,24,41,23.4,35,20,21,12,40,22.9,21,12,27,15.4,11,6.3,17,9.7,59,33.7,33,18.9,4,2.3,15,8.6,3,1.7,14,8,6,3.4,12,6.9,18,10.3
下肢,261,100,62,23.8,58,22.2,55,21.1,33,12.6,50,19.2,20,7.7,32,12.3,12,4.6,20,7.7,75,28.7,42,16.1,9,3.4,32,12.3,8,3.1,26,10,12,4.6,14,5.4,25,9.6
体幹,105,100,29,27.6,27,25.7,26,24.8,13,12.4,12,11.4,20,19,15,14.3,4,3.8,7,6.7,28,26.7,16,15.2,1,1,5,4.8,4,3.8,4,3.8,2,1.9,12,11.4,14,13.3
脳原性運動機能,72,100,26,36.1,18,25,14,19.4,12,16.7,16,22.2,18,25,11,15.3,6,8.3,11,15.3,22,30.6,18,25,3,4.2,12,16.7,2,2.8,3,4.2,1,1.4,7,9.7,7,9.7
内部障害,259,100,28,10.8,26,10,25,9.7,20,7.7,29,11.2,7,2.7,21,8.1,16,6.2,8,3.1,54,20.8,50,19.3,20,7.7,41,15.8,6,2.3,59,22.8,9,3.5,11,4.2,30,11.6
