区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,889,60.8,143,9.8,511,34.9,5,0.3,1,0.1,19,1.3,19,1.3,7,0.5,11,0.8,10,0.7,25,1.7,66,4.5,2,0.1,79,5.4,204,13.9,130,8.9,2,0.1,8,0.5,113,7.7,234,16
身体障害者,914,100,506,55.4,95,10.4,293,32.1,5,0.5,1,0.1,14,1.5,17,1.9,7,0.8,11,1.2,10,1.1,24,2.6,61,6.7,2,0.2,73,8,131,14.3,91,10,2,0.2,4,0.4,74,8.1,161,17.6
知的障害者,362,100,162,44.8,15,4.1,74,20.4,1,0.3,0,0,4,1.1,1,0.3,1,0.3,2,0.6,3,0.8,4,1.1,9,2.5,0,0,12,3.3,78,21.5,59,16.3,0,0,1,0.3,44,12.2,63,17.4
精神障害者,241,100,151,62.7,19,7.9,87,36.1,0,0,0,0,6,2.5,2,0.8,0,0,1,0.4,3,1.2,4,1.7,10,4.1,0,0,6,2.5,30,12.4,14,5.8,0,0,3,1.2,18,7.5,43,17.8
自立支援医療受給者,108,100,85,78.7,6,5.6,50,46.3,0,0,0,0,2,1.9,1,0.9,0,0,0,0,1,0.9,1,0.9,1,0.9,0,0,3,2.8,19,17.6,11,10.2,0,0,2,1.9,12,11.1,4,3.7
難病医療費助成者,316,100,249,78.8,38,12,149,47.2,0,0,0,0,1,0.3,5,1.6,0,0,0,0,0,0,0,0,2,0.6,0,0,3,0.9,30,9.5,11,3.5,0,0,1,0.3,18,5.7,36,11.4
医療費助成対象外の難病患者,22,100,15,68.2,5,22.7,13,59.1,0,0,0,0,1,4.5,1,4.5,1,4.5,0,0,0,0,0,0,0,0,0,0,2,9.1,2,9.1,0,0,0,0,0,0,0,0,5,22.7
発達障害と診断,30,100,23,76.7,1,3.3,13,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,20,2,6.7,0,0,2,6.7,3,10,2,6.7
高次脳機能障害と診断,25,100,10,40,2,8,4,16,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,3,12,4,16,1,4,0,0,4,16,7,28
認知症と診断,10,100,1,10,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,10,2,20,0,0,1,10,5,50,6,60,0,0,0,0,1,10,1,10
