区分,総数,総数割合,家族や友人,家族や友人割合,学校や職場、施設の人,学校や職場、施設の人割合,ボランティア、ヘルパーなどの支援者,ボランティア、ヘルパーなどの支援者割合,テレビやラジオ,テレビやラジオ割合,新聞,新聞割合,区市町村等の広報紙,区市町村等の広報紙割合,障害者団体の会合や機関誌,障害者団体の会合や機関誌割合,インターネット,インターネット割合,SNS（ツイッター、フェイスブックなど）,SNS（ツイッター、フェイスブックなど）割合,行政の窓口,行政の窓口割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,834,57,383,26.2,117,8,1054,72,617,42.2,458,31.3,108,7.4,599,40.9,177,12.1,88,6,26,1.8,29,2,82,5.6
身体障害者,914,100,493,53.9,183,20,94,10.3,676,74,423,46.3,328,35.9,73,8,314,34.4,92,10.1,60,6.6,15,1.6,19,2.1,53,5.8
知的障害者,362,100,205,56.6,151,41.7,36,9.9,196,54.1,84,23.2,52,14.4,35,9.7,79,21.8,18,5,6,1.7,4,1.1,21,5.8,32,8.8
精神障害者,241,100,122,50.6,44,18.3,15,6.2,164,68,83,34.4,50,20.7,14,5.8,108,44.8,31,12.9,20,8.3,11,4.6,2,0.8,22,9.1
自立支援医療受給者,108,100,70,64.8,38,35.2,11,10.2,85,78.7,36,33.3,29,26.9,9,8.3,66,61.1,25,23.1,13,12,3,2.8,0,0,2,1.9
難病医療費助成者,316,100,201,63.6,86,27.2,10,3.2,268,84.8,161,50.9,131,41.5,17,5.4,181,57.3,57,18,29,9.2,2,0.6,2,0.6,7,2.2
医療費助成対象外の難病患者,22,100,9,40.9,4,18.2,2,9.1,15,68.2,10,45.5,10,45.5,2,9.1,9,40.9,4,18.2,3,13.6,0,0,0,0,3,13.6
発達障害と診断,30,100,11,36.7,11,36.7,1,3.3,16,53.3,9,30,6,20,5,16.7,18,60,9,30,2,6.7,0,0,2,6.7,0,0
高次脳機能障害と診断,25,100,15,60,10,40,6,24,19,76,10,40,9,36,5,20,5,20,1,4,3,12,0,0,0,0,3,12
認知症と診断,10,100,5,50,2,20,3,30,3,30,2,20,2,20,0,0,0,0,0,0,2,20,0,0,1,10,1,10
