区分,総数,総数割合,国内外からの旅行者への観光・交通案内,国内外からの旅行者への観光・交通案内割合,競技会場の最寄駅から会場までの観客案内,競技会場の最寄駅から会場までの観客案内割合,会場内での観客・大会関係者の誘導,会場内での観客・大会関係者の誘導割合,チケットチェック等の入場管理,チケットチェック等の入場管理割合,警備,警備割合,選手村でのハウスキーピング等,選手村でのハウスキーピング等割合,選手村や会場の食堂での配備,選手村や会場の食堂での配備割合,選手村・会場内での清掃,選手村・会場内での清掃割合,その他,その他割合,無回答,無回答割合
障害者等総数,163,100,50,30.7,44,27,70,42.9,68,41.7,17,10.4,28,17.2,55,33.7,46,28.2,7,4.3,9,5.5
身体障害者,81,100,22,27.2,22,27.2,33,40.7,34,42,9,11.1,18,22.2,29,35.8,31,38.3,2,2.5,7,8.6
知的障害者,25,100,4,16,4,16,4,16,11,44,4,16,3,12,8,32,10,40,2,8,2,8
精神障害者,29,100,11,37.9,10,34.5,12,41.4,11,37.9,4,13.8,5,17.2,9,31,10,34.5,1,3.4,1,3.4
自立支援医療受給者,19,100,8,42.1,6,31.6,9,47.4,8,42.1,4,21.1,5,26.3,7,36.8,6,31.6,0,0,1,5.3
難病医療費助成者,52,100,21,40.4,11,21.2,29,55.8,26,50,3,5.8,8,15.4,18,34.6,8,15.4,3,5.8,1,1.9
医療費助成対象外の難病患者,2,100,2,100,1,50,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0
発達障害と診断,6,100,3,50,4,66.7,2,33.3,2,33.3,1,16.7,2,33.3,1,16.7,2,33.3,0,0,0,0
高次脳機能障害と診断,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
認知症と診断,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
