区分,総数,総数割合,受付・案内,受付・案内割合,活動の指導、手伝い,活動の指導、手伝い割合,イベント等の会場準備の手伝い,イベント等の会場準備の手伝い割合,清掃,清掃割合,移動や身の回りの介助などの手伝い,移動や身の回りの介助などの手伝い割合,手話などのコミュニケーションの手伝い,手話などのコミュニケーションの手伝い割合,話し相手、遊び相手、学習支援,話し相手、遊び相手、学習支援割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
障害者等総数,1463,100,141,9.6,155,10.6,182,12.4,159,10.9,49,3.3,19,1.3,93,6.4,51,3.5,822,56.2,185,12.6
身体障害者,914,100,85,9.3,100,10.9,111,12.1,84,9.2,20,2.2,16,1.8,55,6,28,3.1,512,56,136,14.9
知的障害者,362,100,14,3.9,14,3.9,22,6.1,38,10.5,6,1.7,1,0.3,11,3,12,3.3,235,64.9,51,14.1
精神障害者,241,100,19,7.9,25,10.4,20,8.3,30,12.4,15,6.2,2,0.8,25,10.4,9,3.7,124,51.5,38,15.8
自立支援医療受給者,108,100,9,8.3,19,17.6,13,12,13,12,9,8.3,1,0.9,14,13,3,2.8,64,59.3,4,3.7
難病医療費助成者,316,100,48,15.2,45,14.2,63,19.9,41,13,12,3.8,3,0.9,26,8.2,12,3.8,165,52.2,22,7
医療費助成対象外の難病患者,22,100,3,13.6,3,13.6,6,27.3,3,13.6,2,9.1,0,0,0,0,1,4.5,11,50,2,9.1
発達障害と診断,30,100,2,6.7,5,16.7,4,13.3,7,23.3,5,16.7,0,0,6,20,2,6.7,15,50,4,13.3
高次脳機能障害と診断,25,100,2,8,4,16,2,8,3,12,1,4,0,0,1,4,1,4,14,56,5,20
認知症と診断,10,100,1,10,3,30,2,20,2,20,0,0,1,10,0,0,0,0,5,50,1,10
