区分,総数,総数割合,自宅,自宅割合,道路や遊歩道,道路や遊歩道割合,広場や公園,広場や公園割合,民間のスポーツ施設,民間のスポーツ施設割合,公共のスポーツ施設（障害者専用施設）,公共のスポーツ施設（障害者専用施設）割合,公共のスポーツ施設（障害者専用施設以外,公共のスポーツ施設（障害者専用施設以外割合,公立小中学校の体育施設,公立小中学校の体育施設割合,特別支援学校の体育施設,特別支援学校の体育施設割合,職場のスポーツ施設,職場のスポーツ施設割合,福祉施設,福祉施設割合,医療機関,医療機関割合,山・川・海,山・川・海割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1008,100,291,28.9,513,50.9,247,24.5,137,13.6,58,5.8,146,14.5,30,3,24,2.4,11,1.1,110,10.9,22,2.2,83,8.2,76,7.5,3,0.3,43,4.3
身体障害者,609,100,173,28.4,307,50.4,162,26.6,78,12.8,37,6.1,64,10.5,16,2.6,6,1,7,1.1,72,11.8,15,2.5,43,7.1,44,7.2,1,0.2,35,5.7
知的障害者,233,100,39,16.7,98,42.1,53,22.7,30,12.9,32,13.7,55,23.6,16,6.9,19,8.2,3,1.3,40,17.2,0,0,16,6.9,20,8.6,1,0.4,11,4.7
精神障害者,151,100,41,27.2,83,55,35,23.2,14,9.3,6,4,22,14.6,1,0.7,1,0.7,1,0.7,16,10.6,5,3.3,13,8.6,7,4.6,0,0,5,3.3
自立支援医療受給者,75,100,23,30.7,49,65.3,20,26.7,12,16,3,4,14,18.7,1,1.3,2,2.7,0,0,6,8,1,1.3,8,10.7,4,5.3,0,0,3,4
難病医療費助成者,232,100,88,37.9,128,55.2,54,23.3,40,17.2,5,2.2,29,12.5,8,3.4,1,0.4,2,0.9,11,4.7,7,3,22,9.5,16,6.9,0,0,9,3.9
医療費助成対象外の難病患者,10,100,4,40,3,30,5,50,2,20,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,10,1,10,0,0,0,0
発達障害と診断,20,100,8,40,15,75,9,45,2,10,1,5,4,20,0,0,1,5,0,0,0,0,1,5,2,10,2,10,0,0,0,0
高次脳機能障害と診断,17,100,7,41.2,11,64.7,4,23.5,1,5.9,2,11.8,1,5.9,1,5.9,1,5.9,0,0,6,35.3,1,5.9,1,5.9,4,23.5,0,0,0,0
認知症と診断,5,100,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,1,20,0,0,0,0,0,0,0,0
