区分,総数,総数割合,何らかの活動に参加,何らかの活動に参加割合,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動,参加した分野／障害者、高齢者等の支援などの福祉、医療に関する活動割合,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動,参加した分野／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動割合,参加した分野／スポーツ大会などのスポーツ、運動に関する活動,参加した分野／スポーツ大会などのスポーツ、運動に関する活動割合,参加した分野／お祭り、町会・自治会などの地域の活動,参加した分野／お祭り、町会・自治会などの地域の活動割合,参加した分野／企業の商品やサービスの開発・販売促進への協力,参加した分野／企業の商品やサービスの開発・販売促進への協力割合,参加した分野／その他,参加した分野／その他割合,特にない,特にない割合,無回答,無回答割合
身体障害者総数,914,100,280,30.6,100,10.9,86,9.4,72,7.9,112,12.3,52,5.7,24,2.6,471,51.5,163,17.8
視覚,119,100,33,27.7,10,8.4,9,7.6,13,10.9,10,8.4,8,6.7,4,3.4,62,52.1,24,20.2
聴覚,133,100,43,32.3,14,10.5,13,9.8,16,12,21,15.8,15,11.3,3,2.3,72,54.1,18,13.5
平衡機能,28,100,5,17.9,2,7.1,1,3.6,2,7.1,0,0,0,0,1,3.6,12,42.9,11,39.3
音声機能・言語機能・そしゃく機能,93,100,28,30.1,7,7.5,6,6.5,3,3.2,10,10.8,5,5.4,5,5.4,51,54.8,14,15.1
上肢,175,100,56,32,24,13.7,19,10.9,11,6.3,15,8.6,13,7.4,4,2.3,88,50.3,31,17.7
下肢,261,100,75,28.7,29,11.1,20,7.7,12,4.6,21,8,12,4.6,6,2.3,130,49.8,56,21.5
体幹,105,100,27,25.7,12,11.4,8,7.6,5,4.8,6,5.7,6,5.7,2,1.9,55,52.4,23,21.9
脳原性運動機能,72,100,23,31.9,6,8.3,6,8.3,4,5.6,9,12.5,4,5.6,2,2.8,37,51.4,12,16.7
内部障害,259,100,90,34.7,30,11.6,29,11.2,22,8.5,44,17,13,5,8,3.1,129,49.8,40,15.4
