区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
身体障害者総数,914,100,506,55.4,95,10.4,293,32.1,5,0.5,1,0.1,14,1.5,17,1.9,7,0.8,11,1.2,10,1.1,24,2.6,61,6.7,2,0.2,73,8,131,14.3,91,10,2,0.2,4,0.4,74,8.1,161,17.6
視覚,119,100,64,53.8,5,4.2,33,27.7,5,4.2,1,0.8,4,3.4,12,10.1,7,5.9,8,6.7,7,5.9,0,0,2,1.7,0,0,5,4.2,17,14.3,5,4.2,1,0.8,1,0.8,12,10.1,21,17.6
聴覚,133,100,63,47.4,19,14.3,47,35.3,0,0,0,0,3,2.3,1,0.8,0,0,1,0.8,0,0,23,17.3,29,21.8,2,1.5,59,44.4,32,24.1,20,15,0,0,0,0,5,3.8,16,12
平衡機能,28,100,12,42.9,1,3.6,4,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6,1,3.6,0,0,0,0,6,21.4,6,21.4,0,0,0,0,3,10.7,6,21.4
音声機能・言語機能・そしゃく機能,93,100,30,32.3,5,5.4,22,23.7,0,0,1,1.1,5,5.4,1,1.1,0,0,1,1.1,2,2.2,1,1.1,25,26.9,1,1.1,2,2.2,18,19.4,27,29,2,2.2,1,1.1,14,15.1,10,10.8
上肢,175,100,82,46.9,14,8,47,26.9,0,0,0,0,3,1.7,1,0.6,0,0,0,0,1,0.6,0,0,5,2.9,0,0,4,2.3,36,20.6,30,17.1,0,0,1,0.6,20,11.4,32,18.3
下肢,261,100,134,51.3,25,9.6,75,28.7,0,0,0,0,1,0.4,2,0.8,0,0,2,0.8,2,0.8,0,0,3,1.1,0,0,6,2.3,41,15.7,36,13.8,0,0,1,0.4,24,9.2,55,21.1
体幹,105,100,38,36.2,10,9.5,28,26.7,0,0,0,0,0,0,2,1.9,0,0,0,0,2,1.9,0,0,2,1.9,0,0,2,1.9,18,17.1,20,19,0,0,0,0,16,15.2,25,23.8
脳原性運動機能,72,100,29,40.3,9,12.5,17,23.6,0,0,0,0,1,1.4,0,0,0,0,1,1.4,2,2.8,1,1.4,0,0,0,0,4,5.6,19,26.4,23,31.9,0,0,0,0,11,15.3,9,12.5
内部障害,259,100,177,68.3,31,12,92,35.5,0,0,0,0,1,0.4,1,0.4,0,0,0,0,1,0.4,0,0,7,2.7,0,0,4,1.5,22,8.5,11,4.2,0,0,0,0,14,5.4,48,18.5
