区分,総数,総数割合,健康・体力づくりのため,健康・体力づくりのため割合,楽しみや気晴らしのため,楽しみや気晴らしのため割合,運動不足解消のため,運動不足解消のため割合,精神の修養や訓練のため,精神の修養や訓練のため割合,自己の記録や能力を向上させるため,自己の記録や能力を向上させるため割合,リハビリテーションや医療・治療のため,リハビリテーションや医療・治療のため割合,家族のふれあいのため,家族のふれあいのため割合,友人・仲間との交流のため,友人・仲間との交流のため割合,美容や肥満解消のため,美容や肥満解消のため割合,障害者スポーツ大会に参加するため,障害者スポーツ大会に参加するため割合,その他,その他割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1008,100,676,67.1,455,45.1,543,53.9,48,4.8,33,3.3,162,16.1,94,9.3,205,20.3,120,11.9,27,2.7,41,4.1,8,0.8,52,5.2
身体障害者,609,100,410,67.3,242,39.7,314,51.6,17,2.8,21,3.4,127,20.9,44,7.2,125,20.5,53,8.7,13,2.1,21,3.4,3,0.5,37,6.1
知的障害者,233,100,142,60.9,122,52.4,118,50.6,9,3.9,7,3,24,10.3,25,10.7,55,23.6,20,8.6,18,7.7,12,5.2,4,1.7,14,6
精神障害者,151,100,98,64.9,72,47.7,84,55.6,20,13.2,4,2.6,20,13.2,12,7.9,20,13.2,33,21.9,2,1.3,8,5.3,1,0.7,9,6
自立支援医療受給者,75,100,54,72,37,49.3,47,62.7,13,17.3,3,4,13,17.3,10,13.3,12,16,23,30.7,2,2.7,3,4,2,2.7,4,5.3
難病医療費助成者,232,100,155,66.8,107,46.1,132,56.9,8,3.4,7,3,41,17.7,27,11.6,45,19.4,35,15.1,1,0.4,8,3.4,0,0,12,5.2
医療費助成対象外の難病患者,10,100,6,60,4,40,5,50,0,0,0,0,0,0,0,0,4,40,2,20,0,0,0,0,0,0,1,10
発達障害と診断,20,100,6,30,12,60,10,50,3,15,2,10,1,5,3,15,5,25,4,20,0,0,5,25,0,0,2,10
高次脳機能障害と診断,17,100,11,64.7,4,23.5,6,35.3,1,5.9,1,5.9,9,52.9,0,0,5,29.4,2,11.8,0,0,0,0,0,0,1,5.9
認知症と診断,5,100,3,60,2,40,2,40,0,0,0,0,5,100,1,20,0,0,0,0,0,0,0,0,0,0,0,0
