区分,総数,総数割合,会場や選手村などの建物や設備のバリアフリー化,会場や選手村などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設等を利用する際に必要な手続きの支援,施設等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に行う仲間,一緒に行う仲間割合,ボランティア活動に関する情報提供の充実,ボランティア活動に関する情報提供の充実割合,その他,その他割合,特にない,特にない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,163,100,47,28.8,41,25.2,38,23.3,30,18.4,65,39.9,36,22.1,33,20.2,56,34.4,85,52.1,6,3.7,13,8,4,2.5,9,5.5
身体障害者,81,100,25,30.9,21,25.9,19,23.5,17,21,36,44.4,20,24.7,18,22.2,27,33.3,46,56.8,3,3.7,4,4.9,1,1.2,4,4.9
知的障害者,25,100,4,16,5,20,7,28,3,12,12,48,8,32,5,20,11,44,12,48,1,4,2,8,1,4,1,4
精神障害者,29,100,11,37.9,12,41.4,8,27.6,8,27.6,14,48.3,6,20.7,9,31,16,55.2,17,58.6,1,3.4,0,0,1,3.4,3,10.3
自立支援医療受給者,19,100,5,26.3,4,21.1,4,21.1,3,15.8,7,36.8,5,26.3,2,10.5,12,63.2,9,47.4,0,0,1,5.3,0,0,2,10.5
難病医療費助成者,52,100,18,34.6,14,26.9,11,21.2,8,15.4,14,26.9,11,21.2,9,17.3,14,26.9,25,48.1,2,3.8,8,15.4,3,5.8,1,1.9
医療費助成対象外の難病患者,2,100,1,50,1,50,1,50,1,50,1,50,0,0,0,0,1,50,2,100,1,50,0,0,0,0,0,0
発達障害と診断,6,100,1,16.7,1,16.7,1,16.7,0,0,5,83.3,2,33.3,2,33.3,4,66.7,3,50,0,0,0,0,0,0,1,16.7
高次脳機能障害と診断,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0
認知症と診断,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
