区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
身体障害者総数,914,100,411,45,96,10.5,260,28.4,3,0.3,2,0.2,19,2.1,13,1.4,3,0.3,6,0.7,7,0.8,33,3.6,65,7.1,12,1.3,60,6.6,108,11.8,97,10.6,6,0.7,4,0.4,67,7.3,302,33
視覚,119,100,45,37.8,6,5,27,22.7,3,2.5,1,0.8,4,3.4,10,8.4,2,1.7,5,4.2,4,3.4,0,0,1,0.8,0,0,3,2.5,12,10.1,6,5,1,0.8,1,0.8,10,8.4,48,40.3
聴覚,133,100,57,42.9,20,15,44,33.1,0,0,1,0.8,9,6.8,0,0,1,0.8,0,0,0,0,31,23.3,40,30.1,12,9,51,38.3,27,20.3,26,19.5,3,2.3,1,0.8,4,3,32,24.1
平衡機能,28,100,10,35.7,1,3.6,4,14.3,0,0,0,0,1,3.6,0,0,0,0,0,0,0,0,2,7.1,2,7.1,1,3.6,1,3.6,3,10.7,3,10.7,0,0,0,0,2,7.1,13,46.4
音声機能・言語機能・そしゃく機能,93,100,27,29,3,3.2,20,21.5,0,0,1,1.1,5,5.4,1,1.1,0,0,1,1.1,1,1.1,2,2.2,19,20.4,1,1.1,2,2.2,15,16.1,23,24.7,4,4.3,2,2.2,12,12.9,24,25.8
上肢,175,100,78,44.6,10,5.7,49,28,0,0,0,0,2,1.1,1,0.6,1,0.6,0,0,0,0,1,0.6,7,4,0,0,3,1.7,34,19.4,25,14.3,1,0.6,0,0,22,12.6,44,25.1
下肢,261,100,108,41.4,26,10,68,26.1,0,0,0,0,1,0.4,2,0.8,1,0.4,1,0.4,1,0.4,1,0.4,4,1.5,0,0,3,1.1,32,12.3,34,13,0,0,1,0.4,29,11.1,90,34.5
体幹,105,100,36,34.3,8,7.6,23,21.9,0,0,0,0,1,1,2,1.9,1,1,0,0,1,1,0,0,1,1,0,0,1,1,16,15.2,19,18.1,0,0,0,0,21,20,29,27.6
脳原性運動機能,72,100,26,36.1,9,12.5,16,22.2,0,0,0,0,0,0,0,0,1,1.4,1,1.4,2,2.8,2,2.8,2,2.8,0,0,4,5.6,16,22.2,23,31.9,1,1.4,0,0,13,18.1,15,20.8
内部障害,259,100,142,54.8,30,11.6,82,31.7,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0,0,0,4,1.5,0,0,2,0.8,19,7.3,12,4.6,0,0,0,0,11,4.2,91,35.1
