"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日","緯度","経度"
"202304","2023/4/24","薬局","休止","ＭＥＧＵＲＵ漢方薬局","東京都港区北青山二丁目9番13号","斎藤ビル201","03-6271-5800","3港み生薬第50号",,"35.671249","139.716529"
"202304","2023/4/5","薬局","廃止","おだいじに薬局　芝大門店","東京都港区芝大門二丁目5番1号","アルテビルディングB2階","03-5408-6622","2港み生薬第60号","2023/3/31","35.653881","139.753611"
"202304","2023/4/4","薬局","廃止","白金台南薬局","東京都港区白金六丁目6番1号","マンション芝白金1階106号","03-5421-0880","4港み生薬第61号","2023/3/31","35.644302","139.725567"
"202305","2023/5/1","薬局","廃止","三田調剤薬局","東京都港区芝五丁目16番1号","千代ビル1階","03-3451-0454","29港み生薬第39号","2023/4/30","35.648719","139.745744"
"202306","2023/6/7","薬局","廃止","ミナト薬局","東京都港区高輪三丁目11番5号","高輪ビューハイツ1階","03-3447-7657","4港み生薬第74号","2023/5/31","35.631533","139.730536"
"202306","2023/6/30","薬局","廃止","ミント薬局","東京都港区浜松町二丁目13番9号","G1ビル1F","03-6459-0982","2港み生薬第7号","2023/6/14","35.653219","139.755529"
"202308","2023/8/8","薬局","廃止","薬局トモズ　浜松町店","東京都港区浜松町一丁目29番6号","浜松町セントラルビル1階","03-5402-8684","2港み生薬第6号","2023/8/6","35.656912","139.756024"
"202309","2023/9/15","薬局","廃止","エヌビィ薬局","東京都港区新橋一丁目15番2号","新橋TYビル1・2階","03-3591-8277","3港み生薬第10号","2023/8/31","35.668295","139.756363"
"202309","2023/9/1","薬局","廃止","バンビー薬局　ニュー新橋ビル店","東京都港区新橋二丁目16番1号","ニュー新橋ビル内344号","03-3580-3159","29港み生薬第49号","2023/8/31","35.666423","139.757358"
"202309","2023/9/1","薬局","廃止","バンビー薬局","東京都港区新橋三丁目19番2号",,"03-3432-0288","29港み生薬第48号","2023/8/31","35.665014","139.757551"
"202309","2023/9/1","薬局","廃止","三田薬局","東京都港区南青山一丁目1番1号","新青山ビルヂング西館1階","03-3796-5371","4港み生薬第4号","2023/8/31","35.672567","139.724714"
"202309","2023/9/6","薬局","廃止","健康ソムリエ　広尾中央薬局","東京都港区南青山七丁目14番7号","南青NSビル1F","03-6450-5801","29港み生薬第32号","2023/8/1","35.656633","139.717900"
"202310","2023/10/5","薬局","廃止","株式会社湘南薬品　港南薬局","東京都港区港南四丁目6番7号","ワールドシティータワーズキャピタルタワー1階","03-3471-8375","30港み生薬第92号","2023/9/30","35.627474","139.75059"
"202310","2023/10/2","薬局","廃止","スマイル薬局芝浦海岸通店","東京都港区芝浦四丁目13番23号","MS芝浦ビル102号","03-6435-3181","31港み生薬第62号","2023/10/1","35.640240","139.748062"
"202310","2023/10/4","薬局","廃止","マープル薬局","東京都港区西麻布四丁目3番8号",,"03-6427-9330","2港み生薬第41号","2023/9/30","35.657828","139.723226"
"202311","2023/11/9","薬局","廃止","虎の門中央薬局","東京都港区虎ノ門一丁目1番25号","虎ノ門一丁目ビル4階","03-3591-6777","4港み生薬第26号","2023/10/31","35.670492","139.749856"
"202312","2023/12/1","薬局","廃止","梅花堂薬局","東京都港区元赤坂一丁目5番2号",,"03-5474-0538","31港み生薬第59号","2023/11/30","35.677942","139.733938"
"202402","2024/2/1","薬局","廃止","エースタイル薬局","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザB1","03-6441-0990","29港み生薬第71号","2024/1/31","35.671237","139.741652"
"202402","2024/2/13","薬局","廃止","麻布薬局","東京都港区東麻布一丁目25番3号","第2富田ビル7階","03-6277-8340","5港み生薬第2号","2024/2/4","35.655793","139.744731"

"薬局廃止休止一覧(令和6年2月29日現在)","Ver202402",,,,,,,,,,
