年度,発令日数注意報,発令日数警報,発令日数予報,被害届出状況被害者数(人),被害届出状況内入院患者数(人)
昭和45,7,1,4,10064,14
46,33,0,23,28223,4
47,33,0,37,8437,43
48,45,0,57,4035,1
49,26,1,25,2711,0
50,41,1,41,5210,1
51,17,0,15,477,0
52,21,0,18,30,0
53,22,0,20,325,0
54,12,0,10,64,0
55,13,0,8,24,0
56,14,0,5,36,3
57,17,0,5,102,0
58,24,0,12,35,0
59,35,0,10,415,0
60,19,0,7,13,0
61,9,0,1,8,0
62,15,0,1,4,0
63,7,0,1,0,0
平成元,7,0,0,16,0
2,23,0,12,4,0
3,15,0,9,103,0
4,14,0,9,0,0
5,5,0,0,0,0
6,12,0,0,183,0
7,19,0,2,5,0
8,6,0,0,0,0
9,11,0,0,3,0
10,11,0,0,333,0
11,5,0,0,0,0
12,23,0,5,16,0
13,23,0,2,52,0
14,19,0,6,410,0
15,8,0,2,12,0
16,18,0,6,159,0
17,22,0,7,247,1
18,17,0,7,2,0
19,17,0,5,0,0
20,19,0,1,94,0
21,7,0,0,0,0
22,20,0,5,18,0
23,9,0,0,0,0
24,4,0,2,0,0
25,17,0,11,2,0
26,9,0,5,0,0
27,14,0,8,0,0
28,5,0,0,0,0
29,6,0,5,0,0
30,9,0,4,0,0
令和元,7,0,3,0,0
2,6,0,0,0,0
3,6,0,3,0,0
4,7,0,2,0,0
