年度,Fiscal year,男女区分 ,Male female classification,区分 ,Classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
平成2,1990,男 ,Male,身長 (cm),Height (cm),111.2,117,122.5,128,133.8,139.5,144.8,152.1,159.6,165.7,168.2,169.9,170.7
平成7,1995,男 ,Male,身長 (cm),Height (cm),111.4,117.1,123,128.5,133.6,139.7,145.3,152.6,160.4,165.8,169,170.3,170.9
平成12,2000,男 ,Male,身長 (cm),Height (cm),110.6,117.4,122.6,128.4,134.1,139.6,145.9,153.6,160.4,166.2,169.2,170.5,171.1
平成17,2005,男 ,Male,身長 (cm),Height (cm),111.1,116.8,123.3,128.2,134,139.5,145.2,152.4,160.7,166.2,168.6,170.4,171.4
平成22,2010,男 ,Male,身長 (cm),Height (cm),111,116.9,123,128.7,134.2,138.8,145.2,152.7,160.5,165.8,168.4,170.1,171.2
平成27,2015,男 ,Male,身長 (cm),Height (cm),110.8,116.7,122.9,128.2,133.9,139.5,145.6,152.4,160.2,165.8,168.9,169.8,171
令和2,2020,男 ,Male,身長 (cm),Height (cm),112.5,118.4,124.7,130.2,135,141.1,147.3,156,163.1,167.4,169.5,170.8,171.5
平成2,1990,男 ,Male,体重 (kg)  ,Weight (kg),19.5,21.6,23.9,27,30.7,34.3,38.6,44,50.4,55.5,59.4,61.8,62.4
平成7,1995,男 ,Male,体重 (kg)  ,Weight (kg),19.6,21.8,24.6,28,30.5,35.5,39.1,44.7,51.1,55.5,60.4,63.3,63.1
平成12,2000,男 ,Male,体重 (kg)  ,Weight (kg),19.2,22.1,24.2,27.6,31.8,35.5,39.5,45.7,51.6,56,60.6,61.3,63.8
平成17,2005,男 ,Male,体重 (kg)  ,Weight (kg),19.2,21.8,24.6,27.1,31.4,35,39.1,44.8,50.9,56,60.7,62.8,63.6
平成22,2010,男 ,Male,体重 (kg)  ,Weight (kg),19,21.2,24.1,27.1,30.6,33.6,38.7,44,49.9,54.8,58.8,61.2,63.2
平成27,2015,男 ,Male,体重 (kg)  ,Weight (kg),18.9,21.1,24,26.5,30.1,34,38.4,43.1,48.7,54.5,59.3,61.1,62.2
令和2,2020,男 ,Male,体重 (kg)  ,Weight (kg),19.8,22.2,25.5,29,31.8,36.6,40.4,46.8,52.3,55.9,59.2,61.3,63.2
平成2,1990,女 ,Female,身長 (cm),Height (cm),110.5,116.1,122.3,127.5,133.9,139.9,146.5,152.2,155.2,156.9,157.7,157.8,158.2
平成7,1995,女 ,Female,身長 (cm),Height (cm),110.7,116.3,122.1,128,133.4,140.6,146.6,152.4,155.6,157.4,158.1,158.5,158.4
平成12,2000,女 ,Female,身長 (cm),Height (cm),110.1,116.4,122.2,127.6,134,140.4,147.1,152.4,155.4,157.3,157.8,158.2,158.7
平成17,2005,女 ,Female,身長 (cm),Height (cm),110.6,115.8,122.2,127.6,133.7,140.2,147.3,152.7,155.5,157.5,158.2,158.7,158.7
平成22,2010,女 ,Female,身長 (cm),Height (cm),109.9,116.4,121.9,127.7,133.9,140.6,147.1,152.2,155.9,157.1,157.7,158.1,158.7
平成27,2015,女 ,Female,身長 (cm),Height (cm),109.8,115.4,121.7,127.6,133.6,140.6,147.1,152,155.2,157.3,157.4,158,158.5
令和2,2020,女 ,Female,身長 (cm),Height (cm),111.5,117.4,123.4,129.3,135.4,142.3,148.9,153.5,156.2,157.5,158,158.4,158.6
平成2,1990,女 ,Female,体重 (kg) ,Weight (kg),19.1,21,24.1,27,30.6,34.1,38.6,44.4,48,50.2,51.9,51.7,52.8
平成7,1995,女 ,Female,体重 (kg) ,Weight (kg),19.3,21.3,24,27.1,30.5,34.8,39.4,44.8,48,50.2,51.8,52.5,53.2
平成12,2000,女 ,Female,体重 (kg) ,Weight (kg),18.9,21.6,24,26.9,30.8,34.9,39.6,44.9,48,50.4,51.6,52.3,52.7
平成17,2005,女 ,Female,体重 (kg) ,Weight (kg),19,21.2,23.7,26.7,29.9,34.1,39.5,44,48.1,50.7,52.3,53,53.8
平成22,2010,女 ,Female,体重 (kg) ,Weight (kg),18.5,21.1,23.1,26.3,29.9,34.3,39.2,43.4,47.3,49.6,51.6,52.8,52.3
平成27,2015,女 ,Female,体重 (kg) ,Weight (kg),18.4,20.7,23.1,26.2,29.5,33.7,38.6,43.3,47.2,49.9,51.1,52.4,52.9
令和2,2020,女 ,Female,体重 (kg) ,Weight (kg),19.3,21.7,24.5,27.5,31.2,35.7,40.4,45.1,47.8,50.1,50.7,50.9,51.5
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
 17-4  幼児，児童及び生徒の年齢別発育平均値 (平成2～令和2年度) 17-4  AVERAGE GROWTH OF INFANTS， CHILDREN， AND STUDENTS BY AGE  ( Fiscal Years 1990-2020 ),,,,,,,,,,,,,,,,,,
この表は学校保健統計調査による。 2段階抽出調査であり，まず，学校を抽出し，その学校から生徒を抽出している 。　,,,,,,,,,,,,,,,,,,
注) 令和2年度については，例年4月1日から6月30日に実施される健康診断が当該年度末まで実施することになったため，調査期間が延長された。成長の著しい時期において測定時期を異にしたデータを集計したものとなっており，過去の数値と単純比較はできない。,,,,,,,,,,,,,,,,,,
Data in this table are based on the School Health Statistical Survey， a two stage sampling in which a sample of students are surveyed from a sample of schools.,,,,,,,,,,,,,,,,,,
Note: School physicals are usually conducted between April 1 and June 30. Since this period was extended to the end of the fiscal year for  FY2020， measurements taken in FY2020 cover a longer period than before， making a simple comparison with past figures impossible as this covers a stage of development when children grow rapidly.,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校保健統計（学校保健統計調査報告書）」 Source: Bureau of General Affairs， TMG　　 ,,,,,,,,,,,,,,,,,,
