年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成30,2018,総数,Total,101782,49801,51981,1067,43025,57690,98524,3258
令和元,2019,総数,Total,101723,49839,51884,1063,43041,57619,98650,3073
令和2,2020,総数,Total,100178,49059,51119,1041,42839,56298,97088,3090
令和2,2020,進学者(A),Enrollment in higher education institutions(A),66737,30809,35928,665,22620,43452,66008,729
令和2,2020,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,64619,30595,34024,665,21497,42457,63960,659
令和2,2020,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,1982,153,1829,-,1050,932,1941,41
令和2,2020,進学者(A)／大学・短期大学の通信教育部,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges,94,55,39,-,67,27,69,25
令和2,2020,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,6,3,3,-,3,3,3,3
令和2,2020,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,35,3,32,-,2,33,35,-
令和2,2020,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,1,-,1,-,1,-,-,1
令和2,2020,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),12261,5315,6946,4,8076,4181,11695,566
令和2,2020,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),6351,3998,2353,-,3499,2852,6140,211
令和2,2020,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),258,190,68,1,219,38,171,87
令和2,2020,就職者等(E),Employed and others (E),6834,3999,2835,2,5842,990,5774,1060
令和2,2020,就職者等(E)／自営業主等,Employed and others (E)／Self-employed persons and others,305,207,98,1,203,101,256,49
令和2,2020,就職者等(E)／常用労働者,Employed and others (E)／Regular worker,6278,3670,2608,1,5404,873,5373,905
令和2,2020,就職者等(E)／常用労働者／無期雇用労働者,Employed and others (E)／Regular worker／Indefinite-term employment,5860,3479,2381,1,5043,816,5134,726
令和2,2020,就職者等(E)／常用労働者／有期雇用労働者,Employed and others (E)／Regular worker／ Fixed-term employment,418,191,227,-,361,57,239,179
令和2,2020,就職者等(E)／臨時労働者,Employed and others (E)／Contingent worker,251,122,129,-,235,16,145,106
令和2,2020,上記以外の者,Persons other than the above,7731,4746,2985,369,2581,4781,7296,435
令和2,2020,不詳・死亡,Unknown or deceased,6,2,4,-,2,4,4,2
令和2,2020,（再掲）上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,13,9,4,-,2,11,13,-
令和2,2020,（再掲）上記就職している者のうち自営業主等無期雇用労働者,(Relisted)Among the above employed， indefinite-term employees such as self-employed persons,8,6,2,-,1,7,8,-
令和2,2020,（再掲）上記就職している者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者,(Relisted)Among the above employed， full-time employees under a one-year or longer employment contract,5,3,2,-,1,4,5,-
,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成30～令和2年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2018-2020 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
注 1) 「就職者等」は，令和2年度からの調査項目である。,,,,,,,,,,,
"Note: 1)  ""Employed and others"" section was added in FY2020.",,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
