一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
531,調布市仙川町２－６－５,35.662476,139.579681,JGD2011,国道２０号線（甲州街道）,c,2009‐02‐10,2009‐02‐17,3,4,6.0 ,2.5,72,71
532,調布市富士見町２－１６－３３,35.659873,139.541131,JGD2011,都道調布田無線（武蔵境通り）,a,2009‐01‐28,2009‐01‐29,4,2,15.0 ,1.2,66,64
533,調布市西つつじヶ丘３－１９－１,35.657822,139.571388,JGD2011,国道２０号線（甲州街道）,b,2009‐01‐26,2009‐01‐27,3,4,9.0 ,3.5,70,66
534,調布市深大寺北町７－６－１０,35.673523,139.544840,JGD2011,都道調布田無線（武蔵境通り）,a,2009‐01‐27,2009‐01‐28,4,2,10.0 ,1.2,61,58
535,調布市多摩川１－４５,35.649353,139.531815,JGD2011,都道町田調布線（鶴川街道）,c,2009‐01‐30,2009‐02‐06,4,2,14.0 ,1.2,70,66
536,調布市深大寺東町８－２８,35.681763,139.554138,JGD2011,都道新宿国立線（東八道路）,B,2008‐11‐19,2008‐11‐20,4,4,3.0 ,1.2,67,64
537,調布市布田２－３５,35.651882,139.547256,JGD2011,都道北浦上石原線（旧甲州街道）,C,2008‐12‐08,2008‐12‐09,4,2,2.1,1.2,71,68
538,調布市小島町３－６０,35.647667,139.540634,JGD2011,都道下石原小島線,A,2008‐12‐10,2008‐12‐11,4,2,1.3,1.2,63,56
539,調布市調布ヶ丘２－３７,35.655273,139.551651,JGD2011,都道武蔵野調布線（三鷹通り）,C,2008‐12‐10,2008‐12‐11,4,2,3.4,1.2,66,62
540,調布市国領町２－１,35.652252,139.557220,JGD2011,国道２０号線,C,2008‐12‐11,2008‐12‐12,3,4,5.5,1.2,66,65
