一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
1,千代田区神田神保町２－１５,35.695442,139.757939,JGD2011,都道白山祝田田町線（白山通り）,c,2008‐06‐03,2008‐06‐10,4,5,8.8,1.5,72,69
2,千代田区麹町６－２６－２,35.685215,139.733078,JGD2011,国道２０号線（新宿通り）,c,2008‐06‐04,2008‐06‐06,3,6,6.9,1.5,68,66
3,千代田区九段南１－１,35.693378,139.754913,JGD2011,都道麹町竹平線（内堀通り）,b,2008‐07‐08,2008‐07‐10,4,4,1.7,1.5,66,63
4,千代田区飯田橋４－５－１４,35.700638,139.747498,JGD2011,都道千代田練馬田無線（目白通り）,c,2008‐07‐08,2008‐07‐10,4,5,4.4,1.5,70,69
5,千代田区平河町２－５－１,35.680439,139.738847,JGD2011,区道２２０号（プリンス通り）,b,2008‐07‐08,2008‐07‐10,6,2,1.9,1.5,64,61
6,千代田区九段南３－８－１４,35.692982,139.742935,JGD2011,都道新宿両国線（靖国通り）,c,2008‐10‐01,2008‐10‐03,4,5,4.5,1.5,68,66
7,千代田区神田須田町１－３,35.696018,139.769287,JGD2011,都道新宿両国線（靖国通り）,c,2008‐10‐01,2008‐10‐03,4,6,6.0 ,1.5,70,67
8,千代田区東神田２－１０－１８,35.695507,139.780655,JGD2011,都道新宿両国線（靖国通り）,c,2008‐10‐01,2008‐10‐03,4,6,6.0 ,1.5,72,70
9,千代田区外神田３－１６－１２,35.702534,139.771484,JGD2011,都道秋葉原雑司ヶ谷線（中央通り）,c,2008‐10‐21,2008‐10‐23,4,6,6.6,1.5,69,68
10,千代田区富士見１－４－４,35.698372,139.746094,JGD2011,区道２７０号（早稲田通り）,c,2008‐10‐21,2008‐10‐23,6,1,2.7,1.5,65,58
11,千代田区神田神保町２－１５,35.695442,139.757939,JGD2011,都道白山祝田田町線（白山通り）,c,2008‐11‐11,2008‐11‐18,4,5,8.8,1.5,71,69
12,千代田区神田岩本町１５,35.696655,139.775024,JGD2011,国道４号（日光街道）,c,2008‐11‐11,2008‐11‐18,3,7,7.0 ,1.5,70,69
13,千代田区（旧）和泉橋出張所４階,35.697328,139.774936,JGD2011,首都高速１号（上野線）,c,2008‐11‐11,2008‐11‐18,2,4,18.2,13.6,72,70
14,千代田区岩本町２－８－10,35.692783,139.776947,JGD2011,区道７９２号（早稲田通り）,c,2008‐10‐21,2008‐10‐23,6,5,3.8,1.5,67,65
15,千代田区丸の内１－１－３,35.684478,139.762219,JGD2011,国道１号線（日比谷通り）,c,2009‐02‐03,2009‐02‐05,3,7,5.0 ,1.5,67,64
16,千代田区日比谷公園,35.673889,139.756195,JGD2011,国道１号線（晴海通り）,b,2009‐02‐03,2009‐02‐05,3,10,3.4,1.5,70,70
17,千代田区霞ヶ関２－１,35.676193,139.751129,JGD2011,国道２０号線（内堀通り）,c,2009‐02‐03,2009‐02‐05,3,8,4.0 ,1.5,73,71
18,千代田区平河町２－６,35.679234,139.739197,JGD2011,首都高速４号（新宿線）,C,2008‐12‐04,2008‐12‐05,2,4,8.5,1.2,69,66
19,千代田区外神田１－１,35.697899,139.770203,JGD2011,国道１７号線（中央通り）,C,2008‐12‐04,2008‐12‐05,3,4,3.4,1.2,72,69
20,千代田区飯田橋４－５,35.700676,139.747147,JGD2011,都道千代田練馬田無線（目白通り）,C,2008‐07‐08,2008‐07‐09,4,6,4.2,1.2,70,68
21,千代田区神田神保町２－１５,35.695442,139.757939,JGD2011,都道白山祝田田町線（白山通り）,C,2008‐06‐04,2008‐06‐05,4,6,5.0 ,1.2,72,69
22,千代田区内神田２－３,35.689632,139.768265,JGD2011,都道外濠環状線（外堀通り）,C,2008‐12‐04,2008‐12‐05,4,5,4.5,1.2,66,63
23,千代田区外神田３－１５,35.701672,139.771301,JGD2011,都道秋葉原雑司ヶ谷線（中央通り）,C,2008‐10‐21,2008‐10‐22,4,6,8.0 ,1.2,69,69
24,千代田区西神田３－８,35.698326,139.753738,JGD2011,特別区道千第３１９号,C,2008‐12‐04,2008‐12‐05,5,4,4.7,1.2,66,62
