水再生センター名,芝浦本系流入水,芝浦東系流入水,芝浦本系放流水,芝浦東系放流水,三河島浅草系流入水,三河島尾久系流入水,三河島藍染系流入水,三河島総合放流水,三河島東尾久放流水,砂町流入水,砂町放流水,有明流入水,有明放流水,中川流入水,中川放流水,小菅西系流入水,小菅東系流入水,小菅西系放流水,小菅東系放流水,葛西流入水,葛西放流水,落合超低段流入水,落合高段流入水,落合放流水,中野流入水,中野放流水,みやぎ石神井系流入水,みやぎ飛鳥山系流入水,みやぎ西系放流水,みやぎ東系放流水,新河岸浮間・練馬系流入水,新河岸蓮根系流入水,新河岸放流水,浮間流入水,浮間放流水,森ヶ崎大森系流入水,森ヶ崎大田系流入水,森ヶ崎西系放流水,森ヶ崎東系放流水
水温（℃）,23.6,23.9,23.7,23.8,,,,22.9,23.1,,25,24.5,24.8,,22.4,,,22,21.7,,23.7,23.3,23,24.2,,22.9,,,23.6,23.84166667,,,22.5,,22.6,,,22.8,23.1
透視度（度）,4.5,4.5,90,100,5,5.5,5,95,100,6.5,100,5.5,100,5.5,100,8,7,100,100,6.5,100,4,4.5,100,5,100,6.5,7.5,100,100,4.5,5,100,7,100,5.5,5.5,100,100
pH（-）,6.9～7.5,6.9～7.5,6.3～7.1,6.2～6.5,7.2～7.5,7.1～7.8,7.0～7.6,6.9～7.1,6.6～6.9,6.9～7.3,6.9～7.2,7.2～7.9,6.8～7.2,7.3～7.6,6.6～6.8,6.6～7.3,6.6～7.8,6.5～6.8,6.5～6.9,6.7～7.1,6.3～6.7,7.4～7.8,7.7～8.3,6.3～6.7,7.4～7.9,6.2～6.7,7.2～7.8,6.9～7.6,6.4～7.1,6.4～7.5,6.9～7.5,6.9～7.3,6.4～6.7,6.8～7.2,6.3～6.6,7.0～7.5,7.0～7.2,6.5～6.9,6.2～6.7
BOD（mg/L）,180,150,8,6,190,140,160,10,3,150,5,130,1未満,170,3,120,140,2,2,120,3,340,180,2,160,2,150,140,3,3,180,140,7,130,2,140,120,3,4
COD（mg/L）,94,94,10,10,91,81,94,11,7,89,10,89,7,100,8,64,71,7,8,68,9,120,110,7,110,8,90,80,8,9,91,86,8,67,7,74,65,7,8
浮遊物質（mg/L）,150,150,4,2,110,78,130,3,0.4,110,2,130,0.4,120,1,49,72,1,1,62,1.8,200,170,0.4,150,1未満,130,120,2,2,150,130,2,55,1未満,96,110,1,3
蒸発残留物（mg/L）,750,900,1180,740,540,610,570,450,420,1400,1100,660,460,530,330,530,560,370,390,580,470,560,530,310,490,280,500,490,310,320,440,410,290,420,300,510,440,340,360
強熱減量（mg/L）,300,310,240,160,250,260,260,100,130,400,180,270,100,270,100,200,210,80,80,200,100,320,310,100,270,80,220,230,60,60,240,220,80,180,90,250,230,110,120
溶解性物質（mg/L）,600,750,1180,740,430,530,440,450,420,1300,1100,530,460,410,330,480,490,370,390,520,470,360,360,310,340,280,370,370,310,320,290,280,290,370,300,410,330,340,360
塩化物イオン（mg/L）,180,250,480,260,67,99,82,100,75,490,440,120,110,62,59,92,95,77,87,130,140,51,49,49,47,46,56,53,55,60,50,48,51,53,49,68,44,67,66
