公金支出情報（令和２年度　給与関係費等）,,,,,,,,,,
,,,,,,,（単位：円）,,,
,給料,手当及び退職給付費,賃金及び報酬,法定福利費,報償費,災害補償費,総計,,,
令和2年04月,"721,469,326","1,849,242,512","37,035,453","228,528,804","80,014",0,"2,836,356,109",,,
令和2年05月,"723,741,414","290,309,206","24,648,315","195,514,414","1,231,894",0,"1,235,445,243",,,
令和2年06月,"720,449,980","2,410,782,300","25,260,097","595,096,775","1,105,920",0,"3,752,695,072",,,
令和2年07月,"721,177,250","289,467,568","26,848,211","210,874,803","1,682,367",0,"1,250,050,199",,,
令和2年08月,"721,165,186","300,017,516","25,396,300","191,648,797","1,225,281",0,"1,239,453,080",,,
令和2年09月,"722,513,997","276,761,879","26,561,850","523,742,363","1,123,550",0,"1,550,703,639",,,
令和2年10月,"722,323,554","543,522,584","39,158,733","194,447,276","3,203,984",0,"1,502,656,131",,,
令和2年11月,"720,750,452","288,847,370","26,403,164","203,921,514","1,309,339",0,"1,241,231,839",,,
令和2年12月,"719,419,424","2,361,744,583","26,427,986","566,097,882","1,159,088",0,"3,674,848,963",,,
令和3年01月,"719,803,254","292,690,534","26,988,116","198,298,356","1,280,120",0,"1,239,060,380",,,
令和3年02月,"720,134,246","351,953,376","27,114,239","204,076,160","1,154,858",0,"1,304,432,879",,,
令和3年03月,"719,320,374","300,820,474","27,335,667","204,328,393","2,114,405",0,"1,253,919,313",,,
総計,"8,652,268,457","9,556,159,902","339,178,131","3,516,575,537","16,670,820",0,"22,080,852,847",,,
