項目,条件１,条件２,条件３,指数,備考
1,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保育施設,認証・認可外保育所・保育ママ・ベビーシッター等、認可保育所及び地域型保育事業施設(小規模保育所・家庭的保育事業・事業所内保育事業等）並びに緊急保育室等以外の施設に委託（週3日昼間4時間以上）,８,
2,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保育施設,認可保育園に在園（台東区外）,７,
3,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保育施設,認可保育園の一時保育利用（非定型のみ）,６,
4,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保育施設,幼稚園に在園,５,
5,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保育施設,地域型保育事業施設（小規模保育所・家庭的保育事業・事業所内保育事業等）を利用（台東区内）,５,
6,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保育施設,認可保育園に在園（台東区内、緊急保育室を含む）,５,
7,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者,産休中で同一職場へ復職予定,７,
8,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者,育児休業中で同一職場へ復職予定,７,
9,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者,保護者が職場で就労中に保育,５,
10,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者,保護者が自宅で保育（求職中・就労内定）,３,
11,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者以外,知人が保育,５,
12,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者以外,祖父母が保育,４,
13,子どもの保育状況（１・２・３・４・５・６・７・８・９・１０・１１・１２・１３のどれかを加算する）,保護者以外,祖父母以外の親族が保育,４,
14,世帯の状況（該当する項目を加算、減算する）,"ひとり親
世帯",（１）離婚届・死亡届等を提出後３ケ月以内等、生活の激変を緩和する必要がある場合（転園申請は除く）,基本指数が２０になるまで,
14,世帯の状況（該当する項目を加算、減算する）,"ひとり親
世帯",（２）上記以外のひとり親世帯（転園申請は除く）,５,
14,世帯の状況（該当する項目を加算、減算する）,ひとり親に準ずる世帯,（３）離婚調停中で別居(要証明書類提出、転園申請は除く）,３,
15,世帯の状況（該当する項目を加算、減算する）,生活保護を受給している世帯（転園申請は除く）,,２,
16,世帯の状況（該当する項目を加算、減算する）,児童福祉等の観点から特別の配慮が必要と認められる場合,,１・２・３・４・５,
17,世帯の状況（該当する項目を加算、減算する）,申請児童本人又は同一世帯内のきょうだいが身体障害者手帳・愛の手帳・精神障害者保健福祉手帳を交付されている,,２,
18,世帯の状況（該当する項目を加算、減算する）,きょうだいで同一の認可保育園を希望する転園申請,,４,
