項目,保護者状況（保育にあたれない理由）　類型,保護者状況（保育にあたれない理由）　細目1,保護者状況（保育にあたれない理由）　細目2,保護者状況（保育にあたれない理由）　細目3,基本指数,備考
1,就労,ア居宅外就労及び自営の中心者,おおむね週５日以上の就労,月２０日以上、１日８時間以上の就労を常態,20,
1,就労,ア居宅外就労及び自営の中心者,おおむね週５日以上の就労,月２０日以上、１日７時間以上８時間未満の就労を常態,19,
1,就労,ア居宅外就労及び自営の中心者,おおむね週５日以上の就労,月２０日以上、１日６時間以上７時間未満の就労を常態,18,
1,就労,ア居宅外就労及び自営の中心者,おおむね週５日以上の就労,月２０日以上、１日５時間以上６時間未満の就労を常態,17,
1,就労,ア居宅外就労及び自営の中心者,おおむね週５日以上の就労,月２０日以上、１日４時間以上５時間未満の就労を常態,16,
1,就労,ア居宅外就労及び自営の中心者,おおむね週４日以上の就労,月１６日以上、１日８時間以上の就労を常態,18,
1,就労,ア居宅外就労及び自営の中心者,おおむね週４日以上の就労,月１６日以上、１日７時間以上８時間未満の就労を常態,17,
1,就労,ア居宅外就労及び自営の中心者,おおむね週４日以上の就労,月１６日以上、１日６時間以上７時間未満の就労を常態,16,
1,就労,ア居宅外就労及び自営の中心者,おおむね週４日以上の就労,月１６日以上、１日５時間以上６時間未満の就労を常態,15,
1,就労,ア居宅外就労及び自営の中心者,おおむね週４日以上の就労,月１６日以上、１日４時間以上５時間未満の就労を常態,14,
1,就労,ア居宅外就労及び自営の中心者,おおむね週３日以上の就労,月１２日以上、１日８時間以上の就労を常態,16,
1,就労,ア居宅外就労及び自営の中心者,おおむね週３日以上の就労,月１２日以上、１日７時間以上８時間未満の就労を常態,15,
1,就労,ア居宅外就労及び自営の中心者,おおむね週３日以上の就労,月１２日以上、１日６時間以上７時間未満の就労を常態,14,
1,就労,ア居宅外就労及び自営の中心者,おおむね週３日以上の就労,月１２日以上、１日５時間以上６時間未満の就労を常態,13,
1,就労,ア居宅外就労及び自営の中心者,おおむね週３日以上の就労,月１２日以上、１日４時間以上５時間未満の就労を常態,12,
1,就労,ア居宅外就労及び自営の中心者,その他の就労,上記に当てはまらない１か月４８時間を超える就労及び就労実績３か月未満,11,
1,就労,イ自営の協力者（居宅内）,おおむね週５日以上の就労,月２０日以上、１日８時間以上の就労を常態,19,
1,就労,イ自営の協力者（居宅内）,おおむね週５日以上の就労,月２０日以上、１日７時間以上８時間未満の就労を常態,18,
1,就労,イ自営の協力者（居宅内）,おおむね週５日以上の就労,月２０日以上、１日６時間以上７時間未満の就労を常態,17,
1,就労,イ自営の協力者（居宅内）,おおむね週５日以上の就労,月２０日以上、１日５時間以上６時間未満の就労を常態,16,
1,就労,イ自営の協力者（居宅内）,おおむね週５日以上の就労,月２０日以上、１日４時間以上５時間未満の就労を常態,15,
1,就労,イ自営の協力者（居宅内）,おおむね週４日以上の就労,月１６日以上、１日８時間以上の就労を常態,17,
