"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","音楽（コンサート・オペラなど）","60","24.5","26.0"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","演劇やミュージカル","24","9.8","10.4"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","舞踊（日本舞踊・バレエ・ダンスなど）","9","3.7","3.9"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","伝統芸能（歌舞伎・文楽・能・狂言など）","6","2.4","2.6"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","演芸（落語・漫才など）","4","1.6","1.7"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","美術（絵画展・陶芸など美術品展示・写真展など）","48","19.6","20.8"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","映画（アニメは除く）","66","26.9","28.6"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","メディア芸術（映像やIT技術を使った作品・アニメ作品など）","17","6.9","7.4"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","生活文化（華道展・書道展・ファッションショーなど）","7","2.9","3.0"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","１～９で鑑賞したものはない","103","42.0","44.6"
"202003","余暇活動、文化芸術活動について","Q12. あなたは、この１年間に、自宅以外の場所で、次のようなジャンルの文化芸術を鑑賞しましたか。（あてはまるものすべてに○）","無回答","14","5.7",

"港区保健福祉基礎調査（知的障害者）・単純集計表・余暇活動文化芸術活動についてQ12","Ver202003",,,,,
