"年度[西暦]","区分","自立訓練(機能訓練) 30歳以下[人]","自立訓練(機能訓練) 31～40歳[人]","自立訓練(機能訓練) 41～50歳[人]","自立訓練(機能訓練) 51～60歳[人]","自立訓練(機能訓練) 61～70歳[人]","自立訓練(機能訓練) 71歳以上[人]","自立訓練(機能訓練) 合計[人]","機能訓練区単独 高次脳機能障害者機能訓練[人]","機能訓練区単独 障害児機能訓練[人]","機能訓練区単独 合計[人]"
"2018","合計","0","2","5","2","0","0","9","5","13","18"
"2019","合計","0","1","7","6","1","0","15","5","12","17"
"2020","合計","0","1","1","8","2","0","12","9","15","24"
"2021","合計","1","1","2","4","4","0","12","6","17","23"
"2022","障害別 脳血管疾患","0","0","1","2","1","0","4","3","0","3"
"2022","障害別 神経・筋疾患","0","1","1","0","0","0","2","0","1","1"
"2022","障害別 脳性麻痺","1","0","0","0","1","0","2","0","9","9"
"2022","障害別 その他","1","0","1","2","1","0","5","1","10","11"
"2022","身体障害者手帳 １・２級","2","1","3","3","1","0","10","1","17","18"
"2022","身体障害者手帳 ３・４級","0","0","0","1","1","0","2","0","3","3"
"2022","身体障害者手帳 ５・６級","0","0","0","0","1","0","1","0","0","0"
"2022","身体障害者手帳 手帳なし",,,,,,,,"3",,"3"

"令和5年度港区行政資料集　障害保健福祉センター機能訓練等利用状況","Ver202303",,,,,,,,,,
