"年度","区分","18～20歳[人]","21～30歳[人]","31～40歳[人]","41～50歳[人]","51～60歳[人]","61歳以上[人]"
"2014","合計","1","8","9","5","5","3"
"2015","合計","1","6","7","8","5","3"
"2016","合計","1","5","7","6","4","3"
"2017","合計","1","5","7","5","3","1"
"2018","合計","3","6","7","7","5","2"
"2018","性別 男","1","3","3","5","3","2"
"2018","性別 女","2","3","4","2","2","0"
"2018","障害別 知的障害","3","6","6","7","5","2"
"2018","障害別 身体障害","0","1","1","0","0","1"
"2018","障害別 （重複障害）","0","1","0","0","0","1"
"2018","障害等級 愛の手帳 1・2度","0","1","3","1","0","1"
"2018","障害等級 愛の手帳 3・4度","2","5","3","6","5","1"
"2018","障害等級 愛の手帳 手帳なし","1","0","1","0","0","0"
"2018","障害等級 身体障害者手帳 1・2級","0","0","1","0","0","0"
"2018","障害等級 身体障害者手帳 3・4級","0","0","0","0","0","0"
"2018","障害等級 身体障害者手帳 5・6級","0","1","0","0","0","1"
"2018","障害等級 身体障害者手帳 手帳なし","3","5","6","7","5","1"

"平成30年度港区行政資料集　障害保健福祉センター就労継続支援B型事業利用状況","Ver201804",,,,,,
