規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,475521,465198,426699,38499,10323,141123,139574,132997,6577,1549
100～499人,420657,405670,377012,28658,14987,141208,140537,135208,5329,671
100人以上,449313,436762,402964,33798,12551,141175,140157,134335,5822,1018
30～99人,389204,360450,335592,24858,28754,104289,103364,100986,2378,925
５～29人,366517,349679,332535,17144,16838,91815,90038,88142,1896,1777
30人以上,431682,414378,383202,31176,17304,125194,124216,119886,4330,978
５人以上,415922,398731,370949,27782,17191,109625,108275,105080,3195,1350
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年８月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
