事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成28,2016,年平均,18.3,18.8,17.4,146.6,157.2,130,133.9,141.6,121.7,12.7,15.6,8.3
30人以上,TL 調査産業計,平成29,2017,年平均,18.3,18.9,17.4,146.7,157.4,130.3,134.3,142.1,122.3,12.4,15.3,8
30人以上,TL 調査産業計,平成30,2018,年平均,18.3,18.9,17.3,146.5,156.7,131.2,134.2,141.8,122.9,12.3,14.9,8.3
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.7,18.4,16.8,143.2,153.6,127.7,130.2,137.7,119,13,15.9,8.7
30人以上,TL 調査産業計,令和２,2020,年平均,17.4,18.1,16.5,139.7,149.8,124.5,127.8,135.3,116.6,11.9,14.5,7.9
30人以上,TL 調査産業計,令和３,2021,年平均,17.7,18.2,16.8,143.5,153.1,129.3,130.5,137.4,120.3,13,15.7,9
30人以上,TL 調査産業計,令和３,2021,1月,16.7,17.2,15.8,135.1,144.4,121,123,129.9,112.6,12.1,14.5,8.4
30人以上,TL 調査産業計,令和３,2021,2月,16.5,17.1,15.6,133.4,143.3,118.7,121.1,128.3,110.4,12.3,15,8.3
30人以上,TL 調査産業計,令和３,2021,3月,18,18.7,17.1,146.5,157,130.9,132.8,140.5,121.5,13.7,16.5,9.4
30人以上,TL 調査産業計,令和３,2021,4月,18.7,19.4,17.8,152.8,162.5,138.1,139,146,128.3,13.8,16.5,9.8
30人以上,TL 調査産業計,令和３,2021,5月,16.9,17.4,16.3,137.6,145.9,125.5,125,130.8,116.5,12.6,15.1,9
30人以上,TL 調査産業計,令和３,2021,6月,18.4,19,17.5,148.6,158.6,133.9,135.8,143,125.1,12.8,15.6,8.8
30人以上,TL 調査産業計,令和３,2021,7月,18.3,19,17.4,148.8,158.8,134,135.6,142.8,124.9,13.2,16,9.1
30人以上,TL 調査産業計,令和３,2021,8月,17,17.5,16.3,138.2,147,125.4,126.1,132.3,117.1,12.1,14.7,8.3
30人以上,TL 調査産業計,令和３,2021,9月,17.4,18,16.7,141.7,150.9,128.3,129,135.5,119.6,12.7,15.4,8.7
30人以上,TL 調査産業計,令和３,2021,10月,18.1,18.6,17.4,147.1,156.6,133.5,133.8,140.5,124.1,13.3,16.1,9.4
