規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,153,137.1,15.9,12.5,82.9,79.3,3.6
100～499人,18.6,157.5,142.5,15,14.3,91,87.2,3.8
100人以上,18.4,155.2,139.7,15.5,13.6,87.9,84.2,3.7
30～99人,18.4,154.7,141.3,13.4,12.6,70.6,69.4,1.2
５～29人,19.1,156.3,146.7,9.6,11.4,65.2,63.6,1.6
30人以上,18.4,155.1,140.2,14.9,13.2,80.5,77.8,2.7
５人以上,18.6,155.3,141.7,13.6,12.4,73.3,71.1,2.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
