規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,8014272,4606832,3407440,107327,54483,52844,149625,78337,71288,7971974,4582978,3388996,23.5,13.7,36.7
５人以上,"鉱業,採石業,砂利採取業",1497,1165,332,12,11,1,29,20,9,1480,1156,324,1.6,1.6,1.2
５人以上,建設業,388045,314139,73906,2464,2248,216,3360,2802,558,387149,313585,73564,2.8,1.5,8.7
５人以上,製造業,558595,382619,175976,4464,2315,2149,7410,5234,2176,555649,379700,175949,12.4,4.7,29
５人以上,電気・ガス・熱供給・水道業,28242,23216,5026,101,79,22,154,147,7,28189,23148,5041,4.4,2.7,12.5
５人以上,情報通信業,858951,613498,245453,8001,4639,3362,8099,5331,2768,858853,612806,246047,4,1.4,10.6
５人以上,"運輸業,郵便業",476999,353783,123216,3214,2343,871,6669,4714,1955,473544,351412,122132,14.5,13,19
５人以上,"卸売業,小売業",1662354,943389,718965,22885,11062,11823,24756,13945,10811,1660483,940506,719977,25.6,13.5,41.3
５人以上,"金融業,保険業",398326,198172,200154,5878,2807,3071,5926,3158,2768,398278,197821,200457,6.1,1.3,10.8
５人以上,"不動産業,物品賃貸業",219804,141567,78237,2306,1286,1020,2965,1574,1391,219145,141279,77866,13.6,10.4,19.5
５人以上,"学術研究,専門・技術サービス業",389219,249805,139414,3377,2299,1078,3542,2099,1443,389054,250005,139049,7,3.6,13.2
５人以上,"宿泊業,飲食サービス業",613104,272781,340323,15453,8040,7413,21904,10025,11879,606653,270796,335857,75.8,60.4,88.2
５人以上,"生活関連サービス業,娯楽業",248727,105174,143553,2671,1472,1199,6570,3387,3183,244828,103259,141569,36.2,26.7,43.2
５人以上,"教育,学習支援業",414591,216912,197679,6770,3662,3108,22205,14421,7784,399156,206153,193003,39.9,34.2,46.1
５人以上,"医療,福祉",769822,216411,553411,10581,2680,7901,14151,2204,11947,766252,216887,549365,31.9,24.8,34.7
５人以上,複合サービス事業,37374,23142,14232,102,87,15,93,64,29,37383,23165,14218,15.3,5.7,30.9
５人以上,サービス業（他に分類されないもの）,948622,551059,397563,19048,9453,9595,21792,9212,12580,945878,551300,394578,23.4,14.5,35.8
30人以上,調査産業計,5634091,3398405,2235686,69133,36267,32866,98792,53868,44924,5604432,3380804,2223628,17.7,10.4,28.9
30人以上,"鉱業,採石業,砂利採取業",1497,1165,332,12,11,1,29,20,9,1480,1156,324,1.6,1.6,1.2
30人以上,建設業,255089,210943,44146,1018,852,166,1902,1456,446,254205,210339,43866,1.2,0.7,3.2
30人以上,製造業,406949,280378,126571,3838,2063,1775,5472,3875,1597,405315,278566,126749,13,4.9,30.7
30人以上,電気・ガス・熱供給・水道業,25058,20889,4169,101,79,22,154,147,7,25005,20821,4184,2.5,2.4,3.3
30人以上,情報通信業,755556,538810,216746,7776,4591,3185,7597,4928,2669,755735,538473,217262,3.7,1.3,9.4
30人以上,"運輸業,郵便業",404447,301248,103199,2461,1670,791,5614,3659,1955,401294,299259,102035,14.8,13.5,18.7
30人以上,"卸売業,小売業",1038512,626701,411811,10911,5898,5013,12506,6752,5754,1036917,625847,411070,17,8,30.8
30人以上,"金融業,保険業",326513,171515,154998,5096,2532,2564,4902,2942,1960,326707,171105,155602,5.9,1.2,11.1
30人以上,"不動産業,物品賃貸業",147898,94370,53528,1313,817,496,1265,676,589,147946,94511,53435,13.3,11.5,16.3
30人以上,"学術研究,専門・技術サービス業",273513,179097,94416,2213,1370,843,3268,1944,1324,272458,178523,93935,5,2.6,9.7
30人以上,"宿泊業,飲食サービス業",201845,97021,104824,4419,2008,2411,5130,2168,2962,201134,96861,104273,64.7,49.6,78.8
30人以上,"生活関連サービス業,娯楽業",135288,62615,72673,1187,684,503,2190,1025,1165,134285,62274,72011,34.6,21.2,46.1
30人以上,"教育,学習支援業",329492,182463,147029,5249,3191,2058,20713,14071,6642,314028,171583,142445,34.6,29.4,40.8
30人以上,"医療,福祉",510994,170613,340381,6490,1625,4865,8351,1563,6788,509133,170675,338458,25.9,21.7,28.1
30人以上,複合サービス事業,24234,17720,6514,102,87,15,93,64,29,24243,17743,6500,13.3,7.1,30.1
30人以上,サービス業（他に分類されないもの）,797206,442857,354349,16947,8789,8158,19606,8578,11028,794547,443068,351479,25.3,16.1,36.9
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１月分,,,,,,,,,,,,,,,,
第３表  規模、産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
