規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.9,17.5,16.1,139.8,147.7,127.6,125.9,131.5,117.3,13.9,16.2,10.3
100～499人,17.1,17.6,16.4,139.7,148.1,126.5,127.2,133.2,117.7,12.5,14.9,8.8
100人以上,17,17.5,16.3,139.7,147.8,127.1,126.5,132.3,117.5,13.2,15.5,9.6
30～99人,15.9,16.6,14.8,125.5,137.2,108.4,115.8,124.8,102.6,9.7,12.4,5.8
５～29人,15.1,16.2,14,114.6,130.1,98.8,108.4,121.1,95.4,6.2,9,3.4
30人以上,16.7,17.2,15.8,135.1,144.4,121,123,129.9,112.6,12.1,14.5,8.4
５人以上,16.2,17,15.2,129,140.7,113.3,118.7,127.6,106.7,10.3,13.1,6.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
