産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.44,1.43,1.31,1.25
"鉱業,採石業,砂利採取業",2.82,2.89,2.82,2.89
建設業,0.54,0.58,0.35,0.56
製造業,0.81,0.79,0.69,0.89
電気・ガス・熱供給・水道業,0.53,0.22,0.63,0.27
情報通信業,0.92,1.22,0.96,1.26
"運輸業,郵便業",0.91,1.25,0.89,1.21
"卸売業,小売業",1.11,1.17,0.84,0.87
"金融業,保険業",0.38,0.96,0.43,1.05
"不動産業,物品賃貸業",1.28,1.23,1.34,1.02
"学術研究,専門・技術サービス業",1.21,0.97,1.25,1.06
"宿泊業,飲食サービス業",3.48,3.69,3.95,2.62
"生活関連サービス業,娯楽業",1.33,1.76,0.45,0.77
"教育,学習支援業",2.76,2.33,3.13,2.63
"医療,福祉",1.83,1.17,1.55,0.93
複合サービス事業,2.09,0.76,2.77,0.91
サービス業（他に分類されないもの）,1.91,1.68,2.06,1.77
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１２月分,,,,
第４表  規模、産業別労働異動率,,,,
