規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.5,17.9,16.9,145,151.8,134.9,130.5,134.9,123.9,14.5,16.9,11
100～499人,17.8,18.4,17,145.2,155.1,130.8,132.3,139.5,121.8,12.9,15.6,9
100人以上,17.7,18.1,16.9,145.1,153.5,132.8,131.4,137.2,122.8,13.7,16.3,10
30～99人,17,17.6,16.2,134.4,145.4,119.2,124,131.9,113,10.4,13.5,6.2
５～29人,16.2,17.4,15,121.7,137.5,105.5,115.2,127.8,102.2,6.5,9.7,3.3
30人以上,17.4,18,16.7,141.7,150.9,128.3,129,135.5,119.6,12.7,15.4,8.7
５人以上,17.1,17.8,16.1,135.9,147.4,120.7,125,133.5,113.8,10.9,13.9,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
