産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,629386,-3.7,79.5,83.2,1.36,0.01
鉱業，採石業，砂利採取業,1472020,-2.3,71.4,94.8,2.53,-0.58
建設業,891024,-13.3,86.4,85.8,2.08,-0.3
製造業,777704,-2,78,81.8,1.29,-0.11
電気・ガス・熱供給・水道業,1047281,13.8,79.8,94.2,2.38,0.06
情報通信業,757766,-3.7,73,80.8,1.5,0.06
運輸業，郵便業,454139,4.7,63.1,68.7,1.3,0.13
卸売業，小売業,780937,10.6,80.3,86,1.41,0.04
"金融業,保険業",1096790,6,87.6,92.2,2.39,0.07
不動産業，物品賃貸業,738596,10.6,84.2,87.9,1.61,0.01
学術研究，専門・技術サービス業,692606,-9.3,86.8,90.2,1.56,0.04
宿泊業，飲食サービス業,81811,19.4,72.7,73.7,0.5,0.14
生活関連サービス業，娯楽業,259576,-20.1,62.8,63.8,0.49,-0.44
教育，学習支援業,559584,-7,89.5,94.9,1.56,-0.15
医療，福祉,419538,-3.3,92.7,87.4,1.4,0.15
複合サービス事業,546535,5.5,100,100,1.48,-0.04
サービス業（他に分類されないもの）,273134,-21.4,75.2,79.4,1.13,-0.01
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年夏季,,,,,,
第21表  賞与の産業別支給状況（事業所規模30人以上）,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
