産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.71,1.76,1.46,1.53
"鉱業,採石業,砂利採取業",0.34,1.03,0.34,1.03
建設業,0.61,0.78,0.46,0.51
製造業,1.1,1,1,0.88
電気・ガス・熱供給・水道業,1.6,1.11,0.19,0.75
情報通信業,0.79,1.19,0.79,1.21
"運輸業,郵便業",1.03,1.31,0.87,1.32
"卸売業,小売業",1.22,1.47,0.72,0.97
"金融業,保険業",0.77,1.25,0.66,1.15
"不動産業,物品賃貸業",1.16,1.94,1.22,1.4
"学術研究,専門・技術サービス業",1.28,1.25,1.46,1.41
"宿泊業,飲食サービス業",4.71,3.54,2.55,3.21
"生活関連サービス業,娯楽業",2.88,2.5,1.32,1.53
"教育,学習支援業",5.05,3.15,6.23,3.43
"医療,福祉",1.35,1.95,1.26,1.35
複合サービス事業,0.25,0.54,0.11,0.84
サービス業（他に分類されないもの）,2.18,2.33,2.44,2.57
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年９月分,,,,
第４表  規模、産業別労働異動率,,,,
