産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.33,1.85,1.18,1.57
"鉱業,採石業,砂利採取業",0.55,0.96,0.55,0.96
建設業,0.64,0.87,0.63,0.58
製造業,0.72,0.97,0.81,1.18
電気・ガス・熱供給・水道業,0.9,0.28,0.48,0.33
情報通信業,0.84,1.13,0.89,1.11
"運輸業,郵便業",0.73,1.1,0.71,1.03
"卸売業,小売業",1.46,1.23,1.07,0.97
"金融業,保険業",0.87,0.96,0.81,0.93
"不動産業,物品賃貸業",1.18,1.88,1.05,1.31
"学術研究,専門・技術サービス業",1.13,1.73,1.16,2.15
"宿泊業,飲食サービス業",2.74,5.64,2.75,2.65
"生活関連サービス業,娯楽業",1.62,1.63,1.64,1.51
"教育,学習支援業",1.46,4.31,1.34,4.66
"医療,福祉",1.49,1.5,1.27,1.42
複合サービス事業,0.22,0.52,0.35,0.37
サービス業（他に分類されないもの）,1.74,2.34,1.88,2.38
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年８月分,,,,
第４表  規模、産業別労働異動率,,,,
