産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.27,2.02,2.17,1.83
"鉱業,採石業,砂利採取業",0.81,1.56,0.81,1.56
建設業,3,1.13,4.07,0.89
製造業,1.02,1.48,1.09,1.54
電気・ガス・熱供給・水道業,1.23,1.09,0.51,1.27
情報通信業,1.13,1.28,1.08,1.28
"運輸業,郵便業",0.94,1.27,0.87,1.39
"卸売業,小売業",2.04,1.87,1.2,1.56
"金融業,保険業",2.61,2.77,2.47,2.91
"不動産業,物品賃貸業",1.76,2.25,1.9,2.51
"学術研究,専門・技術サービス業",2.65,1.52,3.36,1.28
"宿泊業,飲食サービス業",3.97,4.62,3.22,4.38
"生活関連サービス業,娯楽業",1.86,2.82,1.76,2.42
"教育,学習支援業",6.45,2.49,7.36,2.18
"医療,福祉",2.39,2.39,2.77,2.36
複合サービス事業,0.59,0.49,0.37,0.41
サービス業（他に分類されないもの）,1.92,1.67,2.15,1.87
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年５月分,,,,
第４表  規模、産業別労働異動率,,,,
