規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.6,148.2,132.9,15.3,11.9,77.5,74.2,3.3
100～499人,17.9,150.8,136.5,14.3,13.6,84.2,80.7,3.5
100人以上,17.7,149.4,134.6,14.8,12.9,81.4,78,3.4
30～99人,17.5,146.3,133.7,12.6,11,63.9,62.6,1.3
５～29人,17.8,146.3,137.3,9,10.6,61,59.5,1.5
30人以上,17.7,148.6,134.4,14.2,12,73.4,71,2.4
５人以上,17.7,148,135.1,12.9,11.4,67.6,65.6,2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
