規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,157.2,141,16.2,12.8,83.9,80.3,3.6
100～499人,19,160.9,144.7,16.2,14.6,93.3,89.2,4.1
100人以上,18.8,159,142.8,16.2,13.8,89.5,85.6,3.9
30～99人,18.9,159.7,144.7,15,12.7,73.2,71.5,1.7
５～29人,19.8,163.2,152.1,11.1,12.2,71.7,69.5,2.2
30人以上,18.8,159.1,143.3,15.8,13.3,82.2,79.3,2.9
５人以上,19.1,160.2,145.5,14.7,12.8,77.3,74.7,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
