規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,16.5,17.2,15.6,131.7,142.5,117.4,120.9,128.9,110.3,10.8,13.6,7.1
５人以上,"鉱業,採石業,砂利採取業",17.1,17.3,16.5,145.4,150.8,132,123,125.8,115.9,22.4,25,16.1
５人以上,建設業,18.5,18.7,17.6,157.5,160.8,142.1,139.5,141.2,131.4,18,19.6,10.7
５人以上,製造業,17.1,17.4,16.4,140.9,145.7,130.5,130.3,134.5,121.2,10.6,11.2,9.3
５人以上,電気・ガス・熱供給・水道業,17.6,17.7,17.4,148.8,149.4,145.8,134.7,135.2,132.1,14.1,14.2,13.7
５人以上,情報通信業,17.6,17.9,16.9,150.7,154.7,141,135.2,138.2,128,15.5,16.5,13
５人以上,"運輸業,郵便業",17,17.4,15.7,142.8,150.5,121.5,126.4,130.7,114.4,16.4,19.8,7.1
５人以上,"卸売業,小売業",17,17.7,16.2,134.1,145.8,119.2,125.2,134.7,113.1,8.9,11.1,6.1
５人以上,"金融業,保険業",17.2,17.6,16.9,142.2,150.3,134,125.9,130.7,121.1,16.3,19.6,12.9
５人以上,"不動産業,物品賃貸業",17.9,18.2,17.3,146.7,152,137.2,132.2,135.8,125.7,14.5,16.2,11.5
５人以上,"学術研究,専門・技術サービス業",17.7,18,17.2,148.7,153.8,140.8,132.8,136.2,127.6,15.9,17.6,13.2
５人以上,"宿泊業,飲食サービス業",11.6,12.8,10.7,73.8,88.5,62.1,71.2,84.5,60.7,2.6,4,1.4
５人以上,"生活関連サービス業,娯楽業",14.8,15,14.7,114.2,120.4,109.7,108.5,112.5,105.6,5.7,7.9,4.1
５人以上,"教育,学習支援業",13.8,13.8,13.8,99.3,99.5,99.1,93,92.6,93.4,6.3,6.9,5.7
５人以上,"医療,福祉",15.9,16.2,15.7,121,127.6,118.4,115.6,120.8,113.5,5.4,6.8,4.9
５人以上,複合サービス事業,17.1,17.5,16.5,132.7,142.4,117.6,124.6,131.9,113.2,8.1,10.5,4.4
５人以上,サービス業（他に分類されないもの）,17.1,17.7,16.4,134.8,146,120.9,123.5,131.2,114,11.3,14.8,6.9
30人以上,調査産業計,16.9,17.4,16.3,137.6,145.9,125.5,125,130.8,116.5,12.6,15.1,9
30人以上,"鉱業,採石業,砂利採取業",17.1,17.3,16.5,145.4,150.8,132,123,125.8,115.9,22.4,25,16.1
30人以上,建設業,18.4,18.6,17.5,161,163.6,147.1,139.5,140.7,133.1,21.5,22.9,14
30人以上,製造業,17.1,17.3,16.5,143.6,147.7,134.4,131,134.6,122.9,12.6,13.1,11.5
30人以上,電気・ガス・熱供給・水道業,17.5,17.6,16.9,147.8,149.5,138.9,132.7,133.9,126.6,15.1,15.6,12.3
30人以上,情報通信業,17.6,17.9,16.9,150.9,154.7,142,135,137.8,128.4,15.9,16.9,13.6
30人以上,"運輸業,郵便業",16.9,17.3,15.8,142.5,149.9,121.5,125.1,128.9,114.3,17.4,21,7.2
30人以上,"卸売業,小売業",17.6,18,17,141.7,150.2,129,130.6,137.3,120.6,11.1,12.9,8.4
30人以上,"金融業,保険業",17.1,17.5,16.8,143.8,150.9,136,125.4,129.6,120.8,18.4,21.3,15.2
30人以上,"不動産業,物品賃貸業",17.9,18.1,17.5,146.6,150.6,139.4,131,133.5,126.5,15.6,17.1,12.9
30人以上,"学術研究,専門・技術サービス業",17.7,18.1,17.2,151.3,156.5,143.5,133.8,137.1,128.8,17.5,19.4,14.7
30人以上,"宿泊業,飲食サービス業",12,13.1,11,81,94.6,69,78.4,90.8,67.4,2.6,3.8,1.6
30人以上,"生活関連サービス業,娯楽業",14.4,15.6,13.3,110.6,126.5,97.1,103.4,116.5,92.3,7.2,10,4.8
30人以上,"教育,学習支援業",14.3,14.2,14.4,104.3,102.7,106.1,97.3,95.7,99.1,7,7,7
30人以上,"医療,福祉",16.6,16.3,16.8,129,130.9,128.1,122.2,123.1,121.8,6.8,7.8,6.3
30人以上,複合サービス事業,17.6,17.7,17.4,137.5,145,116.4,126.4,132.4,109.8,11.1,12.6,6.6
30人以上,サービス業（他に分類されないもの）,17.2,17.8,16.5,133.6,145,121.1,122.9,131,114.1,10.7,14,7
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年５月分,,,,,,,,,,,,,
第２表  規模、産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
