和暦年,西暦年,月,賃金／現金給与総額（％）,賃金／きまって支給する給与（％）,賃金／所定内給与（％）,労働時間／総実労働時間（％）,労働時間／所定内労働時間（％）,労働時間／所定外労働時間（％）
平成31,2019,1,0.8,0.5,0.5,-2,-2.3,2.1
平成31,2019,2,-0.4,0.6,0.3,-1.1,-1,-1.9
平成31,2019,3,0.6,1,0.8,-2.3,-2.4,-1.8
平成31,2019,4,1.7,0.8,0.8,-1.7,-1.7,-1.7
令和元,2019,5,-1.4,0.3,0,-4.6,-5,0
令和元,2019,6,0.4,0.4,0.3,-3.4,-3.6,-0.9
令和元,2019,7,1.3,0.4,0.3,0.4,0.4,0.9
令和元,2019,8,0.6,0.3,0.2,-2.3,-2.4,-1
令和元,2019,9,0.5,0.5,0.3,0,-0.3,3.9
令和元,2019,10,1.3,0.9,0.8,-1.7,-1.9,0.9
令和元,2019,11,1.4,0.5,0.6,-3.4,-3.4,-3.4
令和元,2019,12,1,1,1,1.2,1.3,0.9
令和2,2020,1,-0.2,1,1.3,1.3,1.6,-1.8
令和2,2020,2,3,0.9,1,-2,-1.9,-3.4
令和2,2020,3,-1.2,-0.6,-0.1,-2.2,-1.7,-8.1
令和2,2020,4,-2,-1.8,-0.3,-6.6,-4.9,-24.4
令和2,2020,5,-4.4,-2.8,-0.7,-12.5,-10.5,-33.3
令和2,2020,6,1.2,-2,-0.3,-3.9,-2.5,-19.7
令和2,2020,7,-3.9,-0.7,0.2,-2.8,-1.7,-14.3
令和2,2020,8,-0.6,-1.4,-0.6,-5.3,-4.5,-14
令和2,2020,9,-0.7,-0.3,0.5,-1,0.1,-13
令和2,2020,10,-1.1,-0.6,-0.3,1.6,2.4,-6.8
令和2,2020,11,-4.8,-0.2,0.4,-2.6,-1.9,-10.1
令和2,2020,12,-1,-0.2,0.5,-1.9,-1.3,-7.7
令和3,2021,1,1.2,0,0.3,-1.3,-0.7,-7.9
令和3,2021,2,-1.7,-1.1,-0.5,-3.1,-2.6,-8.5
令和3,2021,3,0.1,-0.1,0.2,1.8,1.9,0.8
令和3,2021,4,3.5,1.7,1.1,6.7,6,15.4
令和3,2021,5,2.2,2.4,1.3,8.6,7,29.8
令和3,2021,6,1.4,1.1,0.2,2.9,1.8,17.4
令和3,2021,7,-2.1,0.6,0.3,-1.4,-1.9,4.6
令和3,2021,8,2.2,0.7,0.5,0.8,0.6,3.8
令和3,2021,9,0.4,-0.3,-0.7,-0.4,-0.6,1.9
令和3,2021,10,1.8,1.5,1.3,-1.7,-2,1.7
令和3,2021,11,3.2,1.5,1.3,1.7,1.5,4.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１１月分,,,,,,,,
【参考資料】毎月勤労統計における共通事業所による前年同月比の参考提供について,,,,,,,,
（注１）共通事業所とは、「前年同月分」及び「当月分」ともに集計対象となった調査対象事業所のことである。平成30年から部分入替え方式の導入に伴い、常に一部の調査事業所が前年も調査対象となっていることから共通事業所に限定した集計が可能となった。,,,,,,,,
（注２）共通事業所集計では、同一事業所の平均賃金などの変化をみるためのものであり、労働者数の変化の影響を除くため、前年同月も当月の労働者数をもとに月々の平均賃金などを計算している。,,,,,,,,
（注３）共通事業所のみを用いて集計を行っているため、本系列（全ての調査対象事業所のデータを用いて作成した集計）に比べ、サンプルサイズが小さくなることに留意が必要である。,,,,,,,,
（注４）令和元年６月分から、「500人以上規模の事業所」について全数調査による値に変更したことにより、令和２年６月分から集計対象となる共通事業所数が増加している。,,,,,,,,
（調査産業計、事業所規模５人以上）,,,,,,,,
