産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,634156,-3,80,84.3,1.35,-0.02
鉱業，採石業，砂利採取業,1292975,-3.2,71.4,81.4,2.68,-0.06
建設業,823616,-7.9,92.8,96.7,1.81,-0.27
製造業,753348,-8.8,85.5,89.7,1.35,-0.14
電気・ガス・熱供給・水道業,899518,-9.2,72.8,87.4,2.2,-0.26
情報通信業,724381,-7.1,82.8,86.9,1.39,-0.14
運輸業，郵便業,462722,-23.2,72,73.5,1.26,-0.17
卸売業，小売業,679899,-7.5,85.8,89.9,1.38,0.03
"金融業,保険業",1183355,3.1,84.6,86.2,2.27,-0.11
不動産業，物品賃貸業,691048,-5.3,87.9,91.5,1.61,-0.13
学術研究，専門・技術サービス業,680260,-5.5,83.2,87.3,1.5,-0.1
宿泊業，飲食サービス業,68793,-47.5,76.6,73.1,0.34,-0.06
生活関連サービス業，娯楽業,254468,2.4,66.7,66.3,0.66,-0.1
教育，学習支援業,646615,22.1,84.6,90.4,1.88,0.28
医療，福祉,491382,0.9,67.3,73.1,1.52,0.14
複合サービス事業,557214,-1.7,100,100,1.76,0.02
サービス業（他に分類されないもの）,354303,4.3,77.1,78,1.14,0.01
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年冬季,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
