規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,6048451,68870,92292,6022979,1917305,68006,99943,1887418
５人以上,"鉱業,採石業,砂利採取業",1459,11,12,1458,20,0,0,20
５人以上,建設業,375745,2663,3331,374686,12052,236,793,11886
５人以上,製造業,496879,3307,4697,495186,63922,1240,1792,63673
５人以上,電気・ガス・熱供給・水道業,27659,26,2575,25110,1002,81,89,994
５人以上,情報通信業,823617,6177,9187,820654,34102,1071,1451,33675
５人以上,"運輸業,郵便業",402324,4481,6088,400716,66921,739,6032,61629
５人以上,"卸売業,小売業",1235776,12267,13815,1234230,425067,13709,15854,422920
５人以上,"金融業,保険業",369550,3643,5235,367842,27139,127,163,27219
５人以上,"不動産業,物品賃貸業",184299,2388,3467,183220,33702,1456,1025,34133
５人以上,"学術研究,専門・技術サービス業",358611,4631,4128,359274,29294,1190,683,29641
５人以上,"宿泊業,飲食サービス業",148123,4798,4593,148199,446548,24533,27289,443921
５人以上,"生活関連サービス業,娯楽業",150342,3081,2962,148805,90787,2040,7764,86719
５人以上,"教育,学習支援業",233755,1741,5029,230626,166675,5098,18317,153297
５人以上,"医療,福祉",522689,6102,12057,517196,243632,8441,7116,244495
５人以上,複合サービス事業,31238,473,1079,30636,6152,108,217,6039
５人以上,サービス業（他に分類されないもの）,686385,13081,14037,685141,270290,7937,11358,267157
30人以上,調査産業計,4574249,48863,73418,4549742,1035255,25931,54364,1006774
30人以上,"鉱業,採石業,砂利採取業",1459,11,12,1458,20,0,0,20
30人以上,建設業,249993,1533,2385,249140,3509,180,26,3664
30人以上,製造業,362933,2343,3738,361302,47132,816,1519,46665
30人以上,電気・ガス・熱供給・水道業,24726,26,2575,22177,598,0,89,509
30人以上,情報通信業,726716,4304,7647,723420,28025,1071,1236,27813
30人以上,"運輸業,郵便業",340122,4179,5704,338596,57088,558,5960,51687
30人以上,"卸売業,小売業",864251,7915,10159,862008,173045,4493,4582,172955
30人以上,"金融業,保険業",304069,2712,4437,302340,21256,127,163,21224
30人以上,"不動産業,物品賃貸業",125904,1358,1449,125813,21976,833,676,22133
30人以上,"学術研究,専門・技術サービス業",257407,4152,3715,258003,14334,352,594,13933
30人以上,"宿泊業,飲食サービス業",70288,1260,1935,69725,128247,3970,8107,123998
30人以上,"生活関連サービス業,娯楽業",86086,721,2459,84348,46992,856,1679,46169
30人以上,"教育,学習支援業",203998,1444,4126,201318,111061,1360,15580,96839
30人以上,"医療,福祉",379846,3955,9591,374227,127915,3656,3282,128272
30人以上,複合サービス事業,20706,473,895,20287,3645,3,217,3428
30人以上,サービス業（他に分類されないもの）,555745,12477,12591,555580,250412,7656,10654,247465
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年３月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
