事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成28,2016,年平均,17.6,18.7,16.2,135.5,151.9,115.7,127.1,140.6,110.9,8.4,11.3,4.8
５～29人,平成29,2017,年平均,17.4,18.7,16,134.9,152.5,114.1,126,140.1,109.3,8.9,12.4,4.8
５～29人,平成30,2018,年平均,17,18.3,15.7,128.6,145.3,110.2,120.9,134.8,105.6,7.7,10.5,4.6
５～29人,平成31・令和元,2019,年平均,16.7,17.9,15.3,126.4,143.4,108.1,118.8,133,103.5,7.6,10.4,4.6
５～29人,令和２,2020,年平均,16.2,17.4,14.8,122.3,139.2,104.5,115.7,129.8,100.8,6.6,9.4,3.7
５～29人,令和３,2021,年平均,16.3,17.5,15.1,123.3,139.8,106.5,116.5,129.9,102.8,6.8,9.9,3.7
５～29人,令和３,2021,1月,15.1,16.2,14,114.6,130.1,98.8,108.4,121.1,95.4,6.2,9,3.4
５～29人,令和３,2021,2月,15.6,16.7,14.5,117.7,133.2,101.7,111.3,123.9,98.2,6.4,9.3,3.5
５～29人,令和３,2021,3月,16.5,17.7,15.2,124.8,142.2,106.9,117.5,131.7,103,7.3,10.5,3.9
５～29人,令和３,2021,4月,17.3,18.6,16,131.5,149.2,113.2,124.2,138.8,109.2,7.3,10.4,4
５～29人,令和３,2021,5月,15.5,16.6,14.4,117.4,132.9,101.7,111,123.6,98.2,6.4,9.3,3.5
５～29人,令和３,2021,6月,17,18.2,15.7,127.7,144.8,110.4,121.2,135.4,106.9,6.5,9.4,3.5
５～29人,令和３,2021,7月,16.7,18,15.5,125.5,142.2,108.1,118.9,132.8,104.4,6.6,9.4,3.7
５～29人,令和３,2021,8月,15.5,16.6,14.3,117.1,131.8,101.8,110.7,122.6,98.3,6.4,9.2,3.5
５～29人,令和３,2021,9月,16.2,17.4,15,121.7,137.5,105.5,115.2,127.8,102.2,6.5,9.7,3.3
５～29人,令和３,2021,10月,16.9,18.1,15.6,127.4,144.7,109.5,120,133.8,105.7,7.4,10.9,3.8
５～29人,令和３,2021,11月,16.9,18.2,15.6,127.6,144.8,109.9,120.1,134.1,105.7,7.5,10.7,4.2
５～29人,令和３,2021,12月,16.8,18.1,15.5,127.6,144.8,109.9,120,133.7,105.8,7.6,11.1,4.1
30～99人,平成28,2016,年平均,18.1,19,17,140.6,154.8,122,130.4,141.5,115.9,10.2,13.3,6.1
30～99人,平成29,2017,年平均,18.1,19,17,140.4,155.2,122,130,141.2,116,10.4,14,6
30～99人,平成30,2018,年平均,18,19,16.8,140.8,156.5,120.9,129.7,141.8,114.3,11.1,14.7,6.6
30～99人,平成31・令和元,2019,年平均,17.3,18.2,16.1,136.9,152.5,116,125,136.7,109.3,11.9,15.8,6.7
30～99人,令和２,2020,年平均,16.9,17.7,15.7,132.4,146.3,113.4,122.3,132.8,107.9,10.1,13.5,5.5
30～99人,令和３,2021,年平均,17.1,17.8,16.1,135.3,147.2,118.3,124.6,133.4,112,10.7,13.8,6.3
30～99人,令和３,2021,1月,15.9,16.6,14.8,125.5,137.2,108.4,115.8,124.8,102.6,9.7,12.4,5.8
30～99人,令和３,2021,2月,16,16.8,14.9,126.2,139.1,107.4,116,125.7,101.8,10.2,13.4,5.6
30～99人,令和３,2021,3月,17.6,18.3,16.5,138.3,151.3,119.4,127,136.7,113,11.3,14.6,6.4
30～99人,令和３,2021,4月,18.1,18.8,17.1,144.2,155.9,126.7,132.7,141.4,119.7,11.5,14.5,7
30～99人,令和３,2021,5月,16.2,16.8,15.3,128.6,139.2,113.4,118.3,126.1,107.1,10.3,13.1,6.3
30～99人,令和３,2021,6月,17.9,18.6,16.8,140.7,153.3,122.5,130.1,139.5,116.4,10.6,13.8,6.1
30～99人,令和３,2021,7月,17.9,18.7,16.9,141.5,154.3,123.9,131,140.6,117.7,10.5,13.7,6.2
30～99人,令和３,2021,8月,16.2,16.7,15.4,128.1,139,113.1,118.5,126.5,107.4,9.6,12.5,5.7
30～99人,令和３,2021,9月,17,17.6,16.2,134.4,145.4,119.2,124,131.9,113,10.4,13.5,6.2
30～99人,令和３,2021,10月,17.5,18,16.9,139.2,149.9,124.3,128.1,135.9,117.3,11.1,14,7
30～99人,令和３,2021,11月,17.6,18.3,16.7,139.2,151.6,122.1,127.7,136.8,115.2,11.5,14.8,6.9
30～99人,令和３,2021,12月,17.3,18,16.3,137.2,150.5,119.2,125.7,135.3,112.7,11.5,15.2,6.5
100～499人,平成28,2016,年平均,18.4,18.9,17.6,150.2,159.8,132.5,136.5,143.3,124,13.7,16.5,8.5
100～499人,平成29,2017,年平均,18.5,19,17.6,150.4,159.9,133.3,137.2,144,125,13.2,15.9,8.3
100～499人,平成30,2018,年平均,18.3,18.8,17.6,147.7,156.4,133.7,135.3,141.5,125.3,12.4,14.9,8.4
100～499人,平成31・令和元,2019,年平均,18,18.4,17.2,145.2,153.6,132,132.3,138.2,123,12.9,15.4,9
100～499人,令和２,2020,年平均,17.8,18.3,17,141.7,149.7,128.5,129.8,135.7,120.2,11.9,14,8.3
100～499人,令和３,2021,年平均,18,18.5,17.2,146.8,156.2,132.7,133.5,140.3,123.3,13.3,15.9,9.4
100～499人,令和３,2021,1月,17.1,17.6,16.4,139.7,148.1,126.5,127.2,133.2,117.7,12.5,14.9,8.8
100～499人,令和３,2021,2月,17,17.5,16.2,138,146.8,124.8,125.4,131.8,115.8,12.6,15,9
100～499人,令和３,2021,3月,18.3,18.9,17.4,149.1,159,134.4,135.2,142.5,124.4,13.9,16.5,10
100～499人,令和３,2021,4月,19,19.6,18.1,155.4,165.1,140.7,141.3,148.5,130.5,14.1,16.6,10.2
100～499人,令和３,2021,5月,17.3,17.7,16.8,141.4,149.2,129.8,128.4,133.8,120.4,13,15.4,9.4
100～499人,令和３,2021,6月,18.6,19.2,17.8,151.5,161.4,136.7,138.5,145.8,127.5,13,15.6,9.2
100～499人,令和３,2021,7月,18.5,19.1,17.7,151.1,160.6,136.3,137.6,144.5,126.9,13.5,16.1,9.4
100～499人,令和３,2021,8月,17.4,17.9,16.8,142.2,151.1,129.3,129.6,135.8,120.5,12.6,15.3,8.8
100～499人,令和３,2021,9月,17.8,18.4,17,145.2,155.1,130.8,132.3,139.5,121.8,12.9,15.6,9
100～499人,令和３,2021,10月,18.3,18.9,17.5,149.7,159.6,135,136.1,143.4,125.3,13.6,16.2,9.7
100～499人,令和３,2021,11月,18.3,19,17.3,149.4,159.7,134.4,135.5,142.9,124.7,13.9,16.8,9.7
100～499人,令和３,2021,12月,18.2,18.8,17.3,148.7,159.2,133.2,134.7,142.2,123.6,14,17,9.6
500人以上,平成28,2016,年平均,18.3,18.6,17.6,149.5,156.7,137.8,134.9,139.8,127,14.6,16.9,10.8
