規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,471693,558389,341704,428080,502116,317072,392265,35815,43613,56273,24632
100～499人,376577,436846,287475,358744,413692,277509,334397,24347,17833,23154,9966
100人以上,424335,498045,314589,393558,458215,297290,363453,30105,30777,39830,17299
30～99人,312256,366248,235469,296037,346683,224008,278431,17606,16219,19565,11461
５～29人,265551,339820,190426,254496,325527,182645,243874,10622,11055,14293,7781
30人以上,388688,456657,288956,362541,423191,273549,336411,26130,26147,33466,15407
５人以上,352411,426164,255580,330710,397702,242756,309149,21561,21701,28462,12824
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
