規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.8,17.4,151.2,159.4,138.7,135.9,141.6,127.3,15.3,17.8,11.4
100～499人,18.3,19,17.3,149.4,159.7,134.4,135.5,142.9,124.7,13.9,16.8,9.7
100人以上,18.3,18.9,17.4,150.3,159.5,136.5,135.7,142.2,126,14.6,17.3,10.5
30～99人,17.6,18.3,16.7,139.2,151.6,122.1,127.7,136.8,115.2,11.5,14.8,6.9
５～29人,16.9,18.2,15.6,127.6,144.8,109.9,120.1,134.1,105.7,7.5,10.7,4.2
30人以上,18.1,18.7,17.1,146.8,157.1,131.7,133.2,140.6,122.4,13.6,16.5,9.3
５人以上,17.7,18.6,16.6,141.1,153.8,124.4,129.3,138.8,116.8,11.8,15,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
