規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,445562,527418,320533,421866,497201,306799,388125,33741,23696,30217,13734
100～499人,368324,423477,281876,353122,406267,269822,328131,24991,15202,17210,12054
100人以上,407120,475423,301445,387652,451712,288541,358266,29386,19468,23711,12904
30～99人,305413,361557,223139,298861,353747,218432,281072,17789,6552,7810,4707
５～29人,264520,337753,188985,251084,319147,180882,240278,10806,13436,18606,8103
30人以上,374354,439276,275657,359047,420613,265452,333397,25650,15307,18663,10205
５人以上,341734,412645,245852,326983,393997,236370,305741,21242,14751,18648,9482
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
